ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:9887_#1,https://data.letterenhuis.be/ark:/24970/55fc8690-0c81-5d00-bfa1-6aadd92ced84,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_AcquisitionNumbers,1,,,,184730,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_Acquisitions,1,tr:lh:104009,"dlod={""name"":""Aankoop affiches"",""ark"":""ark:/24970/x0/95b732a0-68cc-5e8f-9738-4f5a7835d226"",""uri"":""/repositories/11/accessions/11128966"",""id"":""tr:lh:104009"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/95b732a0-68cc-5e8f-9738-4f5a7835d226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,87 x 79,,,,,,,,,,,,"87 x 79 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,870,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,790,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:9887_#1,184730,"L 5292 / A (LK I,4)",55fc8690-0c81-5d00-bfa1-6aadd92ced84,tr:lh:104009,,,,,,,,,,,,,,,,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3bf374c2-ba7c-5b9c-8bbe-96770c52f99b,au::47935,dr,printers (people),,,,,,,,
55fc8690-0c81-5d00-bfa1-6aadd92ced84,tg:lhps:9887_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0,permission required
