ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:36778_#1,https://data.letterenhuis.be/ark:/24970/d4306c66-a820-53f3-83c4-3d8eb0eb830f,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_AcquisitionNumbers,1,,,,225272/1930,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92876,"dlod={""name"":""Oude collectie"",""ark"":""ark:/24970/x0/b048acf4-db43-5cc8-afc4-c29664ff1ab7"",""uri"":""/repositories/11/archival_objects/9937735"",""id"":""isad:lh:92876"",""resourceName"":""Affichecollectie van ~[Museum Vleeshuis](au::13319)~"",""resourceArk"":""ark:/24970/x0/f6c95b67-ed69-5283-93e0-66c4960b34da"",""resourceURI"":""/repositories/11/resources/9867115"",""resourceID"":""isad:lh:92216"",""capacity"":""Oude collectie"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b048acf4-db43-5cc8-afc4-c29664ff1ab7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken.lhdragerps,cardboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,37 x 24,,,,,,,,,,,,"37 x 24 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,370,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,240,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:36778_#1,225272/1930,"AV.6059 (LK XII,1)",d4306c66-a820-53f3-83c4-3d8eb0eb830f,,isad:lh:92876,,,,,,,,,,,,,,,,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
d4306c66-a820-53f3-83c4-3d8eb0eb830f,tg:lhps:36778_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898.0,permission required
