ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:21114_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/2f29f046-4483-5d8f-adaa-e528b030fcdb,object identifier,,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_AcquisitionNumbers,1,,,,215091/11,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"42,5 x 61,5",,,,,,,,,,,,"42,5 x 61,5 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,425,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,615,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:21114_#1,215091/11,H 771 / A,2f29f046-4483-5d8f-adaa-e528b030fcdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3e136d2-66e7-502d-89b2-765d7ac9f9ef,au::44366,dr,printers (people),,,,,,,,,,,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943.0,permission required,,,,,,,,
2f29f046-4483-5d8f-adaa-e528b030fcdb,tg:lhps:21114_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QbQSjJIYXML7WreYF4ECRNaC,lhps,https://dams.antwerpen.be/iiif/QbQSjJIYXML7WreYF4ECRNaC/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/QbQSjJIYXML7WreYF4ECRNaC,DAMS Image,lhps,Affiche
