ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:11325_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/d7c3ff2d-6342-5bfc-86a4-464c97703d12,object identifier,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_AcquisitionNumbers,1,,,,200301/202,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_Acquisitions,1,tr:lh:7705,"dlod={""name"":""Archiefstukken van Paul Ibou"",""ark"":""ark:/24970/x0/cf200721-f98e-55a9-af3e-44a529e1d03f"",""uri"":""/repositories/11/accessions/824438"",""id"":""tr:lh:7705"",""date"":""2002-07-09"",""granter"":""Paul Ibou"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/cf200721-f98e-55a9-af3e-44a529e1d03f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92249,"dlod={""name"":""Gedrukte affiches ontworpen door Paul Ibou"",""ark"":""ark:/24970/x0/5dca1606-9937-50d8-82d8-21bcc89e6e51"",""uri"":""/repositories/11/archival_objects/9870646"",""id"":""isad:lh:92249"",""nameWithContext"":[""Werkstukken"",""Affiches""],""resourceName"":""Archief van Paul Ibou"",""resourceArk"":""ark:/24970/x0/05a95706-6db8-5de6-a8e2-5d1857e64ce9"",""resourceURI"":""/repositories/11/resources/3671387"",""resourceID"":""isad:lh:34312"",""capacity"":""Gedrukte affiches ontworpen door Paul Ibou"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/5dca1606-9937-50d8-82d8-21bcc89e6e51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,49 x 73,,,,,,,,,,,,"49 x 73 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,490,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,730,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:11325_#1,200301/202,"I 11 / A (LK V,4)",d7c3ff2d-6342-5bfc-86a4-464c97703d12,tr:lh:7705,isad:lh:92249,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddfc61fd-1851-5293-b6d4-1e79c41d7deb,au::23103,dr,printers (people),,,,,,,,,,,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,permission required,,,,,,,,
d7c3ff2d-6342-5bfc-86a4-464c97703d12,tg:lhps:11325_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IvjARUTYdBtLUbZWd8Mv5yMz,lhps,https://dams.antwerpen.be/iiif/IvjARUTYdBtLUbZWd8Mv5yMz/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/IvjARUTYdBtLUbZWd8Mv5yMz,DAMS Image,lhps,Affiche
