ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:14203_#1,https://data.letterenhuis.be/ark:/24970/8fcb908f-6b67-5882-8976-e42604a53529,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_AcquisitionNumbers,1,,,,214676,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_Acquisitions,1,tr:lh:7632,"dlod={""name"":""Oningeschreven gevonden in 2005"",""ark"":""ark:/24970/x0/7f767ed7-edb6-5f98-b38f-0075206c5776"",""uri"":""/repositories/11/accessions/816627"",""id"":""tr:lh:7632"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7f767ed7-edb6-5f98-b38f-0075206c5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"53,5 x 36",,,,,,,,,,,,"53,5 x 36 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,535,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,360,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:14203_#1,214676,K 81 / A,8fcb908f-6b67-5882-8976-e42604a53529,tr:lh:7632,,,,,,,,,,,,,,,,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1b40ac9f-b86e-560f-a9ca-30ae395487a2,au::44861,dr,printers (people),,,,,,,,
8fcb908f-6b67-5882-8976-e42604a53529,tg:lhps:14203_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0,permission required
