ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:8874_#1,https://data.letterenhuis.be/ark:/24970/54ca87e2-6c06-56ef-a55a-9dc065267160,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_AcquisitionNumbers,1,,,,183932,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_Acquisitions,1,tr:lh:7106,"dlod={""name"":""Oningeschreven gevonden in 1995"",""ark"":""ark:/24970/x0/3ccd23c7-bce5-5a57-9858-856974e980bb"",""uri"":""/repositories/11/accessions/760345"",""id"":""tr:lh:7106"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/3ccd23c7-bce5-5a57-9858-856974e980bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,55 x 36,,,,,,,,,,,,"55 x 36 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,550,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,360,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:8874_#1,183932,K 9848 / A,54ca87e2-6c06-56ef-a55a-9dc065267160,tr:lh:7106,,,,,,,,,,,,,,,,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddfc61fd-1851-5293-b6d4-1e79c41d7deb,au::23103,dr,printers (people),,,,,,,,
54ca87e2-6c06-56ef-a55a-9dc065267160,tg:lhps:8874_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,permission required
