ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:6269_#1,https://data.letterenhuis.be/ark:/24970/30ec3e04-3bae-5236-ab97-291ac1a01437,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_AcquisitionNumbers,1,,,,92544,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_Acquisitions,1,tr:lh:4749,"dlod={""name"":""Oningeschreven gevonden in 1974"",""ark"":""ark:/24970/x0/7570f9c8-82bd-53a7-a35b-9db0ed61dc5f"",""uri"":""/repositories/11/accessions/508146"",""id"":""tr:lh:4749"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7570f9c8-82bd-53a7-a35b-9db0ed61dc5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,107 x 80,,,,,,,,,,,,"107 x 80 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,1070,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,800,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:6269_#1,92544,"O 393 / A (LK I,2)(LK II,6)",30ec3e04-3bae-5236-ab97-291ac1a01437,tr:lh:4749,,,,,,,,,,,,,,,,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07be4b2d-44f2-59f7-86c0-34a9d7493b5d,au::46030,dr,printers (people),,,,,,,,
30ec3e04-3bae-5236-ab97-291ac1a01437,tg:lhps:6269_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0,permission required
