ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:6347_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/a4ed65b1-40d6-5992-a59c-a7a8a55514d5,object identifier,,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_AcquisitionNumbers,1,,,,238018,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,49 x 34,,,,,,,,,,,,"49 x 34 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,490,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,340,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:6347_#1,238018,B 4352 / A,a4ed65b1-40d6-5992-a59c-a7a8a55514d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b38d1bd-2fb4-5441-9763-9496f3dec9d2,au::45671,dr,printers (people),,,,,,,,,,,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927.0,permission required,,,,,,,,
a4ed65b1-40d6-5992-a59c-a7a8a55514d5,tg:lhps:6347_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m1QhSMVNUVDITJW8KeIRhH9t,lhps,https://dams.antwerpen.be/iiif/m1QhSMVNUVDITJW8KeIRhH9t/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/m1QhSMVNUVDITJW8KeIRhH9t,DAMS Image,lhps,Affiche
