ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:42102_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,object identifier,,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_AcquisitionNumbers,1,,,,225277/22,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"69,5 x 55",,,,,,,,,,,,"69,5 x 55 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,695,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,550,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:42102_#1,225277/22,P 568 / A,49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ca54fef-09e7-508c-bf2c-bddf112a442b,au::47768,dr,printers (people),,,,,,,,,,,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.0,permission required,,,,,,,,
49abe2e8-8c6d-5d77-87c2-24697bdbe1cb,tg:lhps:42102_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n2JXEceaFNWTWdK7lPLhlY4H,lhps,https://dams.antwerpen.be/iiif/n2JXEceaFNWTWdK7lPLhlY4H/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/n2JXEceaFNWTWdK7lPLhlY4H,DAMS Image,lhps,Affiche
