ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:33827_#1,https://data.letterenhuis.be/ark:/24970/66b4f56e-9c38-5f77-9a75-3e3f26170650,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_AcquisitionNumbers,1,,,,225272/2096,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92220,"dlod={""name"":""Diverse verwervingen"",""ark"":""ark:/24970/x0/f1b3a600-5d53-5f9c-9bb5-08ccd02f4c2b"",""uri"":""/repositories/11/archival_objects/9867543"",""id"":""isad:lh:92220"",""resourceName"":""Affichecollectie van ~[Museum Vleeshuis](au::13319)~"",""resourceArk"":""ark:/24970/x0/f6c95b67-ed69-5283-93e0-66c4960b34da"",""resourceURI"":""/repositories/11/resources/9867115"",""resourceID"":""isad:lh:92216"",""capacity"":""Diverse verwervingen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/f1b3a600-5d53-5f9c-9bb5-08ccd02f4c2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"89,5 x 64",,,,,,,,,,,,"89,5 x 64 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,895,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,640,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:33827_#1,225272/2096,AV.21.2.2.15,66b4f56e-9c38-5f77-9a75-3e3f26170650,,isad:lh:92220,,,,,,,,,,,,,,,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_ProductionActors,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425ff62b-4b56-5d15-91b0-0b9dbc4bb789,au::44774,dr,printers (people),,,,,,,,
66b4f56e-9c38-5f77-9a75-3e3f26170650,tg:lhps:33827_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.0,permission required
