ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:47437_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/dfc7da26-bf51-5f44-9a35-6ed3952eb342,object identifier,,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_AcquisitionNumbers,1,,,,225291/452,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"59,5 x 40",,,,,,,,,,,,"59,5 x 40 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,595,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,400,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:47437_#1,225291/452,M 9326 / A,dfc7da26-bf51-5f44-9a35-6ed3952eb342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841187ea-9d16-5b1d-ae54-831fd8cfeb36,au::44498,dr,printers (people),,,,,,,,,,,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,permission required,,,,,,,,
dfc7da26-bf51-5f44-9a35-6ed3952eb342,tg:lhps:47437_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPiEWXhwu8TfZAjpMFKC9n5W,lhps,https://dams.antwerpen.be/iiif/VPiEWXhwu8TfZAjpMFKC9n5W/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/VPiEWXhwu8TfZAjpMFKC9n5W,DAMS Image,lhps,Affiche
