ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:18478_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/48cd1dae-c7be-5a6e-bc68-8e29224af04a,object identifier,,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_AcquisitionNumbers,1,,,,215035/20,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,70 x 50,,,,,,,,,,,,"70 x 50 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,700,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,500,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:18478_#1,215035/20,C 33868 / A,48cd1dae-c7be-5a6e-bc68-8e29224af04a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e373c532-a3ac-5eb7-a581-eaa3832aa51a,au::44341,dr,printers (people),,,,,,,,,,,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0,permission required,,,,,,,,
48cd1dae-c7be-5a6e-bc68-8e29224af04a,tg:lhps:18478_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X2RfIharbhLVvHaRQu87rEnY,lhps,https://dams.antwerpen.be/iiif/X2RfIharbhLVvHaRQu87rEnY/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/X2RfIharbhLVvHaRQu87rEnY,DAMS Image,lhps,Affiche
