ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:4688_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/bbcfa970-9c30-5ec5-850f-361eeb6700ab,object identifier,,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_AcquisitionNumbers,1,,,,237857,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,80 x 60,,,,,,,,,,,,"80 x 60 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,800,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,600,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:4688_#1,237857,S 4685 / A,bbcfa970-9c30-5ec5-850f-361eeb6700ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddfc61fd-1851-5293-b6d4-1e79c41d7deb,au::23103,dr,printers (people),,,,,,,,,,,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.0,permission required,,,,,,,,
bbcfa970-9c30-5ec5-850f-361eeb6700ab,tg:lhps:4688_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1diEYMbZZJUpIVuJWDJ4iXy,lhps,https://dams.antwerpen.be/iiif/c1diEYMbZZJUpIVuJWDJ4iXy/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/c1diEYMbZZJUpIVuJWDJ4iXy,DAMS Image,lhps,Affiche
