ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:6873_#3,https://data.letterenhuis.be/ark:/24970/5ea8ab94-0127-598a-9290-3add78804033,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_AcquisitionNumbers,3,,,,181311,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_Acquisitions,3,tr:lh:7019,"dlod={""name"":""Oningeschreven gevonden in 1992"",""ark"":""ark:/24970/x0/f9991bbb-d605-5545-8c09-a8c751b5ac91"",""uri"":""/repositories/11/accessions/751036"",""id"":""tr:lh:7019"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/f9991bbb-d605-5545-8c09-a8c751b5ac91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_Archives,3,,,,,,,,,,,isad:lh:92351,"dlod={""name"":""Affiches i.v.m. ~[Volkskundemuseum](au::20577)~"",""ark"":""ark:/24970/x0/b0a7b3da-0557-5253-8f0c-5c63c2d9c641"",""uri"":""/repositories/11/archival_objects/9881560"",""id"":""isad:lh:92351"",""resourceName"":""Affichecollectie van ~[Volkskundemuseum](au::20577)~"",""resourceArk"":""ark:/24970/x0/ff3a8704-5c39-58a1-b9d0-7068a2eabc89"",""resourceURI"":""/repositories/11/resources/9865510"",""resourceID"":""isad:lh:92201"",""capacity"":""Affiches i.v.m. ~[Volkskundemuseum](au::20577)~"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b0a7b3da-0557-5253-8f0c-5c63c2d9c641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,73 x 53,,,,,,,,,,,,"73 x 53 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,730,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,530,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_Items,3,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:6873_#3,181311,R 8055 / A,5ea8ab94-0127-598a-9290-3add78804033,tr:lh:7019,isad:lh:92351,,,,,,,,,,,,,,,,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
5ea8ab94-0127-598a-9290-3add78804033,tg:lhps:6873_#3,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.0,permission required
