ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:9848_#1,https://data.letterenhuis.be/ark:/24970/fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_AcquisitionNumbers,1,,,,184857,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_Acquisitions,1,tr:lh:7284,"dlod={""name"":""Oningeschreven gevonden in 1997"",""ark"":""ark:/24970/x0/8dd3ec58-eb3e-5442-8d71-0424de32ca35"",""uri"":""/repositories/11/accessions/779391"",""id"":""tr:lh:7284"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/8dd3ec58-eb3e-5442-8d71-0424de32ca35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,69 x 49,,,,,,,,,,,,"69 x 49 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,690,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,490,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:9848_#1,184857,"O 33745 / A (LK III,7)",fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tr:lh:7284,,,,,,,,,,,,,,,,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e1460fb-6626-5c54-ad96-c7500cc4f84c,au::20710:2:N,dr,printers (people),,,,,,,,
fa8c5f46-ccae-550b-9c20-c6d4e3c4a2ac,tg:lhps:9848_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,permission required
