ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier,Object Type,source_date,Restriction Type
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:6915_#1,https://data.letterenhuis.be/ark:/24970/f5d78f44-3515-5c7c-bc89-7f92ce189c2a,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_AcquisitionNumbers,1,,,,181984,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_Acquisitions,1,tr:lh:7019,"dlod={""name"":""Oningeschreven gevonden in 1992"",""ark"":""ark:/24970/x0/f9991bbb-d605-5545-8c09-a8c751b5ac91"",""uri"":""/repositories/11/accessions/751036"",""id"":""tr:lh:7019"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/f9991bbb-d605-5545-8c09-a8c751b5ac91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,60 x 40,,,,,,,,,,,,"60 x 40 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,600,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,400,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:6915_#1,181984,R 8985 / A,f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tr:lh:7019,,,,,,,,,,,,,,,,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49cfd951-2d7e-565f-a243-327fdbe50e27,au::14739,dr,printers (people),,,,,,,,
f5d78f44-3515-5c7c-bc89-7f92ce189c2a,tg:lhps:6915_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990.0,permission required
