ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,tg:lhtk:8656,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:8656,record identifiers,https://data.letterenhuis.be/ark:/24970/02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,object identifier,Tekeningen,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""39d84346-a37c-4d62-b967-75a1892b8a7e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7b35b5a0-f9db-441e-8a65-f4798f29087c"", ""inverseOntologyProperty"": """"}]"
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,tg:lhtk:8656,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/tk/000004785,referentienummer,False,,,,,,,,,,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICONOGRAFIE/ 8656i,commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhtk:8656,brocade id,False,,,,,,,,,,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhtk:8656/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,,e73_LegacyInformation,2,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Aankoop Leo Lewi.</p>
<p>Ingeschreven op 11-06-1965.</p>
",herkomst,False,,,,,,,,,,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,tg:lhtk:8656,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""633cb1c2-608a-5234-814a-663cc699e53b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7358ebca-b1d4-43a7-9dc1-b0be46ef0dc6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,tg:lhtk:8656,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portret van Joris Diels als Hamlet's vader.,constructed titles,Dutch (language),,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,tg:lhtk:8656,e73_Titles,,,au::11446,,,,lh,lhtk,Iconografie,60ab1e9c-81e5-5497-8489-5e98c4ed807c,ar,artists (visual artists),au::11446:1,au::11446g:1,,"dlod={""suggest"":[""/agents/people/1224722"",""au::11446"",""au::11446:1"",""ark:/83110/x0/60ab1e9c-81e5-5497-8489-5e98c4ed807c"",""Leo Lewi"",""ark:/83110/x0/e1042269-117e-5471-8b43-5f8138cbc4a2""],""name"":""Leo Lewi"",""ark"":""ark:/83110/x0/e1042269-117e-5471-8b43-5f8138cbc4a2"",""uri"":""/agents/people/1224722"",""id"":""au::11446:1"",""resourceArk"":""ark:/83110/x0/60ab1e9c-81e5-5497-8489-5e98c4ed807c"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/60ab1e9c-81e5-5497-8489-5e98c4ed807c,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02a20da2-a8b6-5cb2-a29b-c64e4d2a1051,tg:lhtk:8656,e73_Titles,,,au::5592,,,,lh,lhtk,Iconografie,212f9d04-d2f8-56a7-9746-69b3e6ad29e6,vb,,au::5592:1,au::5592g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/598344"",""au::5592"",""au::5592:1"",""ark:/83110/x0/212f9d04-d2f8-56a7-9746-69b3e6ad29e6"",""Joris Diels"",""ark:/83110/x0/d4f37d23-0762-5142-825e-fb77c4ef03a0""],""name"":""Joris Diels"",""ark"":""ark:/83110/x0/d4f37d23-0762-5142-825e-fb77c4ef03a0"",""uri"":""/agents/people/598344"",""id"":""au::5592:1"",""resourceArk"":""ark:/83110/x0/212f9d04-d2f8-56a7-9746-69b3e6ad29e6"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/212f9d04-d2f8-56a7-9746-69b3e6ad29e6,,,,,,,,,,,,,,,
