ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
9e0bde6d-9c7a-5828-923f-23586b83a128,tg:lhtk:5000,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:5000,record identifiers,https://data.letterenhuis.be/ark:/24970/9e0bde6d-9c7a-5828-923f-23586b83a128,object identifier,Tekeningen,,,,,,
9e0bde6d-9c7a-5828-923f-23586b83a128,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cf7bdb65-e85a-430b-ae4a-f4fbb0f4177b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0fe33b61-ac5d-4861-8fd3-4b0df33458d1"", ""inverseOntologyProperty"": """"}]"
9e0bde6d-9c7a-5828-923f-23586b83a128,tg:lhtk:5000,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
9e0bde6d-9c7a-5828-923f-23586b83a128,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/tk/000002263,referentienummer,False,,,,,,,,,,,,,,,,,,,,
9e0bde6d-9c7a-5828-923f-23586b83a128,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhtk:5000,brocade id,False,,,,,,,,,,,,,,,,,,,,
9e0bde6d-9c7a-5828-923f-23586b83a128,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhtk:5000/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
9e0bde6d-9c7a-5828-923f-23586b83a128,tg:lhtk:5000,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""94a0f8ab-2d0b-5a28-8776-63ae3bb84d90"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7380641d-eb16-4a2c-b47c-c15565b99543"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
9e0bde6d-9c7a-5828-923f-23586b83a128,tg:lhtk:5000,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portret van Prins Bernhard,constructed titles,Dutch (language),,,,,,,,,,,,
9e0bde6d-9c7a-5828-923f-23586b83a128,tg:lhtk:5000,e73_Titles,,,au::19065,,,,lh,lhtk,Iconografie,23e2bfda-1328-5178-bb8b-ab9609b9e732,ar,artists (visual artists),au::19065:1,au::19065g:1,,"dlod={""suggest"":[""/agents/people/2039955"",""au::19065"",""au::19065:1"",""ark:/83110/x0/23e2bfda-1328-5178-bb8b-ab9609b9e732"",""Stef Vanstiphout"",""ark:/83110/x0/955ef7ec-a7ff-576b-975c-fc9a657a99d9""],""name"":""Stef Vanstiphout"",""ark"":""ark:/83110/x0/955ef7ec-a7ff-576b-975c-fc9a657a99d9"",""uri"":""/agents/people/2039955"",""id"":""au::19065:1"",""resourceArk"":""ark:/83110/x0/23e2bfda-1328-5178-bb8b-ab9609b9e732"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/23e2bfda-1328-5178-bb8b-ab9609b9e732,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e0bde6d-9c7a-5828-923f-23586b83a128,tg:lhtk:5000,e73_Titles,,,au::39812,,,,lh,lhtk,Iconografie,cabbdd95-47e0-55b0-ab82-2e24cfef9a14,vb,,au::39812:1,au::39812g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/4259884"",""au::39812"",""au::39812:1"",""ark:/83110/x0/cabbdd95-47e0-55b0-ab82-2e24cfef9a14"",""Prins Bernard Fonds"",""ark:/83110/x0/9480ff53-dce0-5a3d-88f9-2e539b0b4df1""],""name"":""Prins Bernard Fonds"",""ark"":""ark:/83110/x0/9480ff53-dce0-5a3d-88f9-2e539b0b4df1"",""uri"":""/agents/corporate_entities/4259884"",""id"":""au::39812:1"",""resourceArk"":""ark:/83110/x0/cabbdd95-47e0-55b0-ab82-2e24cfef9a14"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/cabbdd95-47e0-55b0-ab82-2e24cfef9a14,,,,,,,,,,,,,,,
