ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:14362,record identifiers,https://data.letterenhuis.be/ark:/24970/35f58057-2bc4-5762-b91f-25a6b73937c2,object identifier,Tekeningen,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d8ca994d-a357-4100-94a8-1d8a310b2dc7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1c118b2d-83b2-4465-9a6c-3eaadb2fc1a1"", ""inverseOntologyProperty"": """"}]"
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980.0,2095,In Copyright,
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/tk/000009856,referentienummer,False,,,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhtk:14362,brocade id,False,,,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhtk:14362/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""51b5c4d0-3205-555a-a899-433b143b335e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""424f4d6a-aa21-4421-871b-69b6e6d9adcb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kostuumontwerp voor Truus Vink  (Anke Helsen) in Een vreemd Koppel (Neil simon),constructed titles,Dutch (language),,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_Titles,,,au::2216,,,,lh,lhtk,Iconografie,0eb07cfd-77e6-5a03-b90e-b634b4ac2d26,ar,artists (visual artists),au::2216:1,au::2216g:1,,"dlod={""suggest"":[""/agents/people/237112"",""au::2216"",""au::2216:1"",""ark:/83110/x0/0eb07cfd-77e6-5a03-b90e-b634b4ac2d26"",""John Bogaerts"",""ark:/83110/x0/9cc073cb-f43b-5c84-b09e-2c2322374569""],""name"":""John Bogaerts"",""ark"":""ark:/83110/x0/9cc073cb-f43b-5c84-b09e-2c2322374569"",""uri"":""/agents/people/237112"",""id"":""au::2216:1"",""resourceArk"":""ark:/83110/x0/0eb07cfd-77e6-5a03-b90e-b634b4ac2d26"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0eb07cfd-77e6-5a03-b90e-b634b4ac2d26,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_Titles,,,au::112108,,,,lh,lhtk,Iconografie,3ccfd8be-9eff-5821-8c34-2cabd6a161d2,kw,,au::112108:1,au::112108g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/11995556"",""au::112108"",""au::112108:1"",""ark:/83110/x0/3ccfd8be-9eff-5821-8c34-2cabd6a161d2"",""Anke Helsen"",""ark:/83110/x0/422fc938-f0d8-5c88-a1bf-69d6e1149d8f""],""name"":""Anke Helsen"",""ark"":""ark:/83110/x0/422fc938-f0d8-5c88-a1bf-69d6e1149d8f"",""uri"":""/agents/people/11995556"",""id"":""au::112108:1"",""resourceArk"":""ark:/83110/x0/3ccfd8be-9eff-5821-8c34-2cabd6a161d2"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3ccfd8be-9eff-5821-8c34-2cabd6a161d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35f58057-2bc4-5762-b91f-25a6b73937c2,tg:lhtk:14362,e73_Titles,,,au::22381,,,,lh,lhtk,Iconografie,0b939d98-855a-5295-87fa-14c29c88361b,vb,,au::22381:1,au::22381g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/2394767"",""au::22381"",""au::22381:1"",""ark:/83110/x0/0b939d98-855a-5295-87fa-14c29c88361b"",""Koninklijke Nederlandse Schouwburg"",""ark:/83110/x0/170f3dde-ed92-5dac-bcbe-f1f3f068cb9b""],""name"":""Koninklijke Nederlandse Schouwburg"",""ark"":""ark:/83110/x0/170f3dde-ed92-5dac-bcbe-f1f3f068cb9b"",""uri"":""/agents/corporate_entities/2394767"",""id"":""au::22381:1"",""resourceArk"":""ark:/83110/x0/0b939d98-855a-5295-87fa-14c29c88361b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0b939d98-855a-5295-87fa-14c29c88361b,,,,,,,,,,,,,,,
