ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,End Date,Start Date Type,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
4a775122-c9b5-5491-8294-152d4ed5a674,tg:lhpr:10642,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:10642,record identifiers,https://data.letterenhuis.be/ark:/24970/4a775122-c9b5-5491-8294-152d4ed5a674,object identifier,Prenten,,,,,,
4a775122-c9b5-5491-8294-152d4ed5a674,tg:lhpr:10642,e73_AnnotationsImmaterial,2,note.lhalg,"<p>Pagina 5 uit een totaal van vijf pagina's met 6 houtsneden voor Van Nu &amp; Straks</p>
","<p>Pagina 5 uit een totaal van vijf pagina's met 6 houtsneden voor Van Nu &amp; Straks</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a775122-c9b5-5491-8294-152d4ed5a674,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""bc1be2c3-3ca7-4c7d-87ad-40330c5d0bef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4a9f57bb-612d-44b8-8098-1a93a405be2b"", ""inverseOntologyProperty"": """"}]"
4a775122-c9b5-5491-8294-152d4ed5a674,tg:lhpr:10642,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927.0,2042,In Copyright,
4a775122-c9b5-5491-8294-152d4ed5a674,tg:lhpr:10642,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zonder datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a775122-c9b5-5491-8294-152d4ed5a674,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/pr/000002822,referentienummer,False,,,,,,,,,,,,,,,,,,,,
4a775122-c9b5-5491-8294-152d4ed5a674,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhpr:10642,brocade id,False,,,,,,,,,,,,,,,,,,,,
4a775122-c9b5-5491-8294-152d4ed5a674,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhpr:10642/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
4a775122-c9b5-5491-8294-152d4ed5a674,,e73_LegacyInformation,3,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Uit het archief van E. De Bom</p>
",herkomst,False,,,,,,,,,,,,,,,,,,,,
4a775122-c9b5-5491-8294-152d4ed5a674,tg:lhpr:10642,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""52128a9c-307a-52b8-9e55-965add48f71a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1afab526-aeb2-472f-be81-516a2f891ab4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
