ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,tg:lhbr:235965,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:235965,record identifiers,https://data.letterenhuis.be/ark:/24970/3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,object identifier,Brieven,,,,,,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""77970dc3-50dd-41fc-b916-2dc647e75b44"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3a7daf6b-203d-4ddc-bd36-795123fdcf27"", ""inverseOntologyProperty"": """"}]"
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,tg:lhbr:235965,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,2119,In Copyright,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,tg:lhbr:235965,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,20041200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,tg:lhbr:235965,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,2uu4-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,tg:lhbr:235965,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000225138,referentienummer,False,,,,,,,,,,,,,,,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:235965,brocade id,False,,,,,,,,,,,,,,,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:235965/N,brocade url,False,,,,,,,,,,,,,,,
3b8ab142-27dd-50a7-89e5-6e8f9ae23c16,tg:lhbr:235965,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a2a1a8ca-a84e-5d61-824c-50a9fbae5ade"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0ec060d2-1a22-49e4-aac4-680478c1e7b5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
