ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,dataset,Associated Record Note,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,source_date,Copyright Revision Date,Copyright Type,Transactions
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,tg:mpmak:109,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:109,https://data.museumplantinmoretus.be/ark:/11975/45d33d8e-fbc3-5016-b3f7-2df7d29fe184,Akten,,,,,,,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""70205799-f158-42ae-a1e9-738e171e30b9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b3170a35-36ef-4b8b-a273-0247a0d16a4f"", ""inverseOntologyProperty"": """"}]"
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,tg:mpmak:109,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,1760,No Copyright - Public Domain Mark 1.0,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,tg:mpmak:109,e73_CreationActors,,,au::106905,,,,mpmak,,,,,,,mpm,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,,au::106905:1,au::106905g:1,,,,,Tekstdrager,originators (administrative),,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,tg:mpmak:109,e73_CreationActors,,,au::108419,,,,mpmak,,,,,,,mpm,c168acff-a59e-552b-9822-11b3f97f4b55,opd,,au::108419:1,au::108419g:1,,,,,Tekstdrager,writers (clerical workers),,"dlod={""suggest"":[""/agents/people/11600833"",""au::108419"",""au::108419:1"",""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""Anna Goos""],""name"":""Anna Goos"",""ark"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""uri"":""/agents/people/11600833"",""id"":""au::108419:1"",""isCapacity"":false}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,tg:mpmak:109,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,tg:mpmak:109,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,,,,,,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/ak/000000097,referentienummer,False,,,,,,,,,,,,,,,,,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmak:109,brocade id,False,,,,,,,,,,,,,,,,,
45d33d8e-fbc3-5016-b3f7-2df7d29fe184,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmak:109/N,brocade url,False,,,,,,,,,,,,,,,,,
