ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,Documented Place Name Widget,Creation Place Widget,Transactions
5753495c-9cdf-5725-844d-a0ce53d09074,tg:rubgr:453,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:453,https://data.rubenianum.be//ark:/86530/5753495c-9cdf-5725-844d-a0ce53d09074,Handschriften,,,,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""203818b8-0479-43f6-84f5-fb238213ebd3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5396d42f-7fc8-4fec-9f3f-5cec4e4df618"", ""inverseOntologyProperty"": """"}]"
5753495c-9cdf-5725-844d-a0ce53d09074,tg:rubgr:453,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,tg:rubgr:453,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ad [Addendum] Triumph of Death. comte A. [Alexandre] de Laborde, La Mort chevauchant un boeuf. Origine de cette illustration de l’office des morts dans certains livres d’heures de la fin du XVe siècle, 22 pp. & 14 Plates, Paris [F. Lefrançois], 1923.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,tg:rubgr:453,e73_ExternalRelationsExtras,a::rub.13,ow.link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online catalogs,56714,https://rkd.nl/nl/explore/images/,RKDimages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,tg:rubgr:453,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,getijdenboek,,,,,,,,,,,,,,,,,,,,,,,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,tg:rubgr:453,e73_Keywords,2,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laborde, Alexandre",,,,,,,,,,,,,,,,,,,,,,,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000000453,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>2671</priref>
			<number>AFG_009_042</number>
			<content>Ad [Addendum] Triumph of Death. comte A. [Alexandre] de Laborde, La Mort chevauchant un boeuf. Origine de cette illustration de l&#8217;office des morts dans certains livres d&#8217;heures de la fin du XVe si&#232;cle, 22 pp. &amp; 14 Plates, Paris [F. Lefran&#231;ois], 1923.</content>
			<object.object_number>AFG_009</object.object_number>
			<object.object_name>schilderij</object.object_name>
			<class>AFG</class>
			<editorial_form>Referentie</editorial_form>
			<object.title>The Triumph of Death</object.title>
			<keyword>getijdenboek</keyword>
			<keyword>Laborde, Alexandre</keyword>
			<object.creator>Bruegel, Pieter I</object.creator>
			<input.date>2011-09-30</input.date>
			<edit.date>2014-08-26</edit.date>
			<edit.date>2014-08-26</edit.date>
			<edit.date>2014-08-26</edit.date>
			<edit.date>2014-08-26</edit.date>
			<edit.date>2011-11-30</edit.date>
			<edit.date>2011-11-29</edit.date>
			<edit.date>2011-11-29</edit.date>
			<edit.date>2011-11-29</edit.date>
			<edit.date>2011-11-25</edit.date>
			<edit.date>2011-10-04</edit.date>
			<edit.date>2011-10-04</edit.date>
			<edit.date>2011-10-03</edit.date>
			<edit.date>2011-09-30</edit.date>
			<edit.date>2011-09-30</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>09:01:24</edit.time>
			<edit.time>09:00:22</edit.time>
			<edit.time>08:59:07</edit.time>
			<edit.time>08:58:52</edit.time>
			<edit.time>15:28:00</edit.time>
			<edit.time>13:46:08</edit.time>
			<edit.time>13:45:34</edit.time>
			<edit.time>13:38:14</edit.time>
			<edit.time>12:05:03</edit.time>
			<edit.time>10:00:15</edit.time>
			<edit.time>09:19:59</edit.time>
			<edit.time>14:37:37</edit.time>
			<edit.time>14:45:02</edit.time>
			<edit.time>14:40:59</edit.time>
			<input.time>14:40:00</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,
5753495c-9cdf-5725-844d-a0ce53d09074,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:453,brocade id,False,,,,,,,,,,,,,,,,,,,,,,
