ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,dataset,Associated Record Note,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,source_date,Copyright Revision Date,Copyright Type,Transactions
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:335,https://data.museumplantinmoretus.be/ark:/11975/beb02de6-67c3-5b01-8beb-31e0b2047469,Registers,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_AnnotationsImmaterial,2,note.mpmalg,"<p>Bevat 1 los stuk</p>
","<p>Bevat 1 los stuk</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_AssociatedRecords,1,,,,,,mpmre,,volgend register,tg:mpmre:336,Verwijzing naar MPM objectbeschrijvingen,64be5b76-0d66-5b99-94ac-53b6e3b8112e,"[{""resourceId"": ""64be5b76-0d66-5b99-94ac-53b6e3b8112e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1e11c9c6-941a-428b-ad16-d93c2ebc0b7b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_AssociatedRecords,2,,,,,,mpmre,,vorig register,tg:mpmre:334,Verwijzing naar MPM objectbeschrijvingen,24674e72-0b26-526a-8759-4d13e646041d,"[{""resourceId"": ""24674e72-0b26-526a-8759-4d13e646041d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6f32c166-6b6c-45a7-a0a1-ff40337bc9c8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3628c96f-e090-468f-a419-9d57bd5b3654"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a6b2bf81-b193-4d7f-b655-a1aa591a2ada"", ""inverseOntologyProperty"": """"}]"
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601,1716,No Copyright - Public Domain Mark 1.0,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_CreationActors,,,au::106905,,,,mpmre,,,,,,,mpm,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,,au::106905:1,au::106905g:1,,,,,Tekstdrager,originators (administrative),,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""isCapacity"":false}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16011231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601-01-02,,1601-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_Languages,1,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/re/000000330,referentienummer,False,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmre:335,brocade id,False,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmre:335/N,brocade url,False,,,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""51f02ce3-e265-58f3-8ef3-d4fdfbf171df"", ""ontologyProperty"": """", ""resourceXresourceId"": ""50eb2345-6e61-4f84-8e59-9e16862adc21"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journaal 1601,titles proper,Dutch (language),,,,
beb02de6-67c3-5b01-8beb-31e0b2047469,tg:mpmre:335,e73_Titles,2,id.title/ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journal de l'an - 1601 signé Nn,incipits,French (language),,,,
