ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,Documented Place Name Widget,Creation Place Widget,Transactions
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,tg:rubgr:5014,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:5014,https://data.rubenianum.be//ark:/86530/41a8a2b3-3827-541a-bc99-a8df2a0a55d7,Handschriften,,,,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,tg:rubgr:5014,e73_AssociatedRecords,1,,,,,,,,,rubgr_tekstdrager,relatie naar geheel,tg:rubgr:5007,Verwijzing naar Grossmann object,,7de846fc-810a-5249-b32a-4aa608bf0162,"[{""resourceId"": ""7de846fc-810a-5249-b32a-4aa608bf0162"", ""ontologyProperty"": """", ""resourceXresourceId"": ""25d4dc40-0e17-49d6-851c-7a4151846259"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2cd87a83-7df6-40da-8224-cd6324f01f57"", ""ontologyProperty"": """", ""resourceXresourceId"": ""05dfa15d-3d40-4063-8496-4540edb34ed4"", ""inverseOntologyProperty"": """"}]"
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,tg:rubgr:5014,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,tg:rubgr:5014,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Religion Netherlands XVI. H. Enno van Gelder, De opstand tegen Philips II en de Protestantisering der Nederlanden, in: Bijdragen voor de Geschiedenis der Nederlanden, deel X (1955) 1, pp. 58-67, 93.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,tg:rubgr:5014,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gelder, H. Enno van",,,,,,,,,,,,,,,,,,,,,,,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000005014,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>7272</priref>
			<number>AFG_137_049</number>
			<part_of_reference>AFG_137_042</part_of_reference>
			<content>Religion Netherlands XVI. H. Enno van Gelder, De opstand tegen Philips II en de Protestantisering der Nederlanden, in: Bijdragen voor de Geschiedenis der Nederlanden, deel X (1955) 1, pp. 58-67, 93.</content>
			<object.object_number>AFG_137</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>Religion</part_of.title>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<editorial_form>Referentie</editorial_form>
			<object.title>Ortelius: Religion</object.title>
			<keyword>Gelder, H. Enno van</keyword>
			<object.creator/>
			<input.date>2014-08-08</input.date>
			<edit.date>2014-08-08</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.time>10:02:14</edit.time>
			<input.time>09:57:29</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:5014,brocade id,False,,,,,,,,,,,,,,,,,,,,,,
41a8a2b3-3827-541a-bc99-a8df2a0a55d7,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:5014/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,
