ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,Documented Place Name Widget,Creation Place Widget,Transactions
2e822989-43d0-565d-bcd3-9aec517b80e7,tg:rubgr:1638,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:1638,https://data.rubenianum.be//ark:/86530/2e822989-43d0-565d-bcd3-9aec517b80e7,Handschriften,,,,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a3fce39d-23dd-4601-80a5-cd9433abe39b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""903bef65-48f7-461c-9ae4-58a53af9d264"", ""inverseOntologyProperty"": """"}]"
2e822989-43d0-565d-bcd3-9aec517b80e7,tg:rubgr:1638,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,tg:rubgr:1638,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bird Nester. See Seb. Brant, Narrenschiff (1ste edition Basel 1494). Herre Nestrauber-Narr. The woodcut by Dürer shows a man with a fool's cap falling from a tree with a nest (or bird?) in his left hand and many dead (?) [sic] birds on the ground. The text is [...] Repr. p. 111 in F. WINKLER, Dürer und die Illustrationen zum Narrenschiff, Berlin 1951, p. 11 (as by Dürer)(adest).",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,tg:rubgr:1638,e73_ExternalRelationsExtras,a::rub.44,ow.link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online catalogs,261057,https://rkd.nl/nl/explore/images/,RKDimages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,tg:rubgr:1638,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandt, Sebastian",,,,,,,,,,,,,,,,,,,,,,,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,tg:rubgr:1638,e73_Keywords,2,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winkler, Friedrich",,,,,,,,,,,,,,,,,,,,,,,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000001638,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>3889</priref>
			<number>AFG_044_039</number>
			<content>Bird Nester. See Seb. Brant, Narrenschiff (1ste edition Basel 1494). Herre Nestrauber-Narr. The woodcut by D&#252;rer shows a man with a fool's cap falling from a tree with a nest (or bird?) in his left hand and many dead (?) [sic] birds on the ground. The text is [...] Repr. p. 111 in F. WINKLER, D&#252;rer und die Illustrationen zum Narrenschiff, Berlin 1951, p. 11 (as by D&#252;rer)(adest).</content>
			<object.object_number>AFG_044</object.object_number>
			<object.object_name>schilderij</object.object_name>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<editorial_form>Referentie</editorial_form>
			<object.title>The Peasant and the Bird Nester</object.title>
			<keyword>D&#252;rer, Albrecht</keyword>
			<keyword>Brandt, Sebastian</keyword>
			<keyword>Winkler, Friedrich</keyword>
			<object.creator>Bruegel, Pieter I</object.creator>
			<input.date>2012-12-21</input.date>
			<edit.date>2014-09-19</edit.date>
			<edit.date>2012-12-21</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>16:05:29</edit.time>
			<edit.time>15:47:12</edit.time>
			<input.time>15:42:31</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,
2e822989-43d0-565d-bcd3-9aec517b80e7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:1638,brocade id,False,,,,,,,,,,,,,,,,,,,,,,
