ResourceID,mmb_id,card,order,Start Date,End Date
1509a781-cb9d-5760-8b8f-607e96b7195c,tg:mmbdc:7,e73_CreationTimeSpans,1,1892-02-16,
70605196-e141-5fb5-9962-2b1651f3e2a1,tg:mmbdc:8,e73_CreationTimeSpans,1,1879-11-16,
11be8398-f75a-5694-b7b2-2b0eedf24850,tg:mmbdc:9,e73_CreationTimeSpans,1,1920-03-29,
9e60796d-39b4-5c78-a699-b150df0da6ca,tg:mmbdc:10,e73_CreationTimeSpans,1,1901-05-04,
b8a20dc0-1ed5-53cc-ad12-96498d66fe3d,tg:mmbdc:11,e73_CreationTimeSpans,1,1913-08-08,
f4e49ea6-4484-51dd-93f6-ed1e84ddd978,tg:mmbdc:12,e73_CreationTimeSpans,1,1879-09-17,
e7151ec4-bfbb-5ecd-bdde-c2a6f38860f0,tg:mmbdc:108,e73_CreationTimeSpans,1,1911-03-27,
975f495e-f7bc-5fad-a859-5f17f3ef3684,tg:mmbdc:112,e73_CreationTimeSpans,1,1911-03-31,
bad7771a-af52-5c96-b542-662c29fb79d2,tg:mmbdc:52,e73_CreationTimeSpans,1,1919-10-10,1920-11-25
2a3ffdb3-8266-56f8-bd56-c576231952e9,tg:mmbdc:53,e73_CreationTimeSpans,1,1921-04-29,
dfd8430e-f99e-5696-aeb3-7536e33f6cf9,tg:mmbdc:54,e73_CreationTimeSpans,1,1921-01-19,
b69aae14-ca78-53e2-aaec-fc1c967c1c4f,tg:mmbdc:55,e73_CreationTimeSpans,1,1928-08-01,
ce0f7af4-da6d-5e66-aac0-e109583f47b2,tg:mmbdc:56,e73_CreationTimeSpans,1,1907-08-10,1907-11-18
1383d707-43bc-571d-919e-7f0dd9994e4f,tg:mmbdc:82,e73_CreationTimeSpans,1,1916-12-31,
ff62b6a8-4272-5068-98f5-9f0bf54f1803,tg:mmbdc:57,e73_CreationTimeSpans,1,1906-07-30,1906-07-31
a5c8f42a-18aa-5603-bfe4-e31872c63d32,tg:mmbdc:59,e73_CreationTimeSpans,1,1906-07-15,
a1fd1a6e-f524-5288-9021-ee6b2fc15c48,tg:mmbdc:61,e73_CreationTimeSpans,1,1903-07-01,
299de83c-bbc7-527d-9297-04ee3a4e3eab,tg:mmbdc:93,e73_CreationTimeSpans,1,1916-01-19,
e89f431c-7364-5c4a-a845-96c43fbb2673,tg:mmbdc:94,e73_CreationTimeSpans,1,1905-03-30,1905-03-31
b383199c-2d93-59eb-8855-fa86ec97811f,tg:mmbdc:95,e73_CreationTimeSpans,1,uuuu-05-25,uuuu-06-11
6355f5eb-9ad7-5f33-baf3-d86a14afcaf8,tg:mmbdc:96,e73_CreationTimeSpans,1,uuuu-04-01,uuuu-06u06
969cb11b-cb9b-5e7f-8942-b598386487cc,tg:mmbdc:97,e73_CreationTimeSpans,1,1916-05-09,1916-05-18
493ac90b-fa10-50e3-b7ec-8daf6fcce287,tg:mmbdc:98,e73_CreationTimeSpans,1,1916-09-04,1916-10-20
8218acd3-4429-5d35-8f51-80631e753e87,tg:mmbdc:99,e73_CreationTimeSpans,1,1916-12-09,1916-12-14
451148b0-73dd-5072-a62c-7894d342d278,tg:mmbdc:100,e73_CreationTimeSpans,1,1918-02-05,
87b9b8a4-4859-52a1-8a7d-9d7f03b3e997,tg:mmbdc:101,e73_CreationTimeSpans,1,1917-10-29,1917-12-01
2f82e820-2bab-52cb-9dbf-5ef24a341dad,tg:mmbdc:102,e73_CreationTimeSpans,1,1917-07-23,1917-02-24
f888f3d5-80db-5b5f-94aa-5a3d43548e52,tg:mmbdc:103,e73_CreationTimeSpans,1,1917-03-20,
c328943a-46b9-5aca-9210-f61f26e379ec,tg:mmbdc:63,e73_CreationTimeSpans,1,1906-02-02,1918-12-31
f0a19a94-019f-5ef5-836f-69f802b52d5c,tg:mmbdc:64,e73_CreationTimeSpans,1,1901-10-11,
6c7ccc0d-5d67-5e6f-9fa4-b0973651bb16,tg:mmbdc:65,e73_CreationTimeSpans,1,1904-12-16,
108756f8-64b4-506a-9f98-ceb3ef00390d,tg:mmbdc:66,e73_CreationTimeSpans,1,1905-01-06,
c5a33844-8bfb-5e54-b6aa-d0281135b007,tg:mmbdc:67,e73_CreationTimeSpans,1,1904-12-31,
25a4f489-f009-5fe5-9477-591efdb18ae3,tg:mmbdc:68,e73_CreationTimeSpans,1,1904-12-31,
05df2589-1585-5594-bc8a-31b756a2b8f6,tg:mmbdc:69,e73_CreationTimeSpans,1,1904-12-31,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,tg:mmbdc:70,e73_CreationTimeSpans,1,1904-12-31,
270def31-7396-5780-8a48-ea5ea6d86ed8,tg:mmbdc:71,e73_CreationTimeSpans,1,1914-12-31,
93e90445-472a-5e69-8889-bb123cb5d599,tg:mmbdc:72,e73_CreationTimeSpans,1,1904-10-07,1905-04-08
313eef31-e6d3-5dbf-8b35-988507c8e01e,tg:mmbdc:73,e73_CreationTimeSpans,1,1905-04-07,
