ResourceID,mmb_id,card,order,au_code,au_name,Creation Actor Role,Creation Actor Note,Creation Actor Widget
e7151ec4-bfbb-5ecd-bdde-c2a6f38860f0,tg:mmbdc:108,e73_CreationActors,1,au::37342:1,"Destrée, Joseph",authors,,"dlod={""suggest"":[""/agents/people/3995594"",""au::37342"",""au::37342:1"",""ark:/83110/x0/1a81d736-62aa-532f-96a3-c9f54b84749e"",""Joseph Destrée"",""ark:/83110/x0/de152d2e-39b0-539d-aa0e-e3ddc1df626c""],""name"":""Joseph Destrée"",""ark"":""ark:/83110/x0/de152d2e-39b0-539d-aa0e-e3ddc1df626c"",""uri"":""/agents/people/3995594"",""id"":""au::37342:1"",""resourceArk"":""ark:/83110/x0/1a81d736-62aa-532f-96a3-c9f54b84749e"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
975f495e-f7bc-5fad-a859-5f17f3ef3684,tg:mmbdc:112,e73_CreationActors,1,,"Joris, Jules",authors,"Joris, Jules (Auteur)",
ce0f7af4-da6d-5e66-aac0-e109583f47b2,tg:mmbdc:56,e73_CreationActors,2,,"Reypens, L.",signers,"Reypens, L. (Gesigneerd door)",
1383d707-43bc-571d-919e-7f0dd9994e4f,tg:mmbdc:82,e73_CreationActors,1,,"Dessel, Frans van",authors,"Dessel, Frans van (Auteur)",
1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,tg:mmbdc:60,e73_CreationActors,1,au::5179:1,"Delbeke, August",authors,,"dlod={""suggest"":[""/agents/people/554153"",""au::5179"",""au::5179:1"",""ark:/83110/x0/0247daf1-3723-5112-b386-c97178556126"",""August Delbeke"",""ark:/83110/x0/d24b28cd-bad0-596d-b33a-0bacd3bf50d5""],""name"":""August Delbeke"",""ark"":""ark:/83110/x0/d24b28cd-bad0-596d-b33a-0bacd3bf50d5"",""uri"":""/agents/people/554153"",""id"":""au::5179:1"",""resourceArk"":""ark:/83110/x0/0247daf1-3723-5112-b386-c97178556126"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
a1fd1a6e-f524-5288-9021-ee6b2fc15c48,tg:mmbdc:61,e73_CreationActors,1,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh"",""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""resourceArk"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
a1fd1a6e-f524-5288-9021-ee6b2fc15c48,tg:mmbdc:61,e73_CreationActors,2,,"Brouwers, A.",signers,"Brouwers, A. (Gesigneerd door)",
a186e0f7-a2b1-5c33-b76c-19874b8fa52c,tg:mmbdc:84,e73_CreationActors,1,au::115284:1,"Verelst, Willem",authors,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst"",""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""resourceArk"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
299de83c-bbc7-527d-9297-04ee3a4e3eab,tg:mmbdc:93,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
969cb11b-cb9b-5e7f-8942-b598386487cc,tg:mmbdc:97,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
969cb11b-cb9b-5e7f-8942-b598386487cc,tg:mmbdc:97,e73_CreationActors,2,au::115284:1,"Verelst, Willem",dedicatees,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst"",""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""resourceArk"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
493ac90b-fa10-50e3-b7ec-8daf6fcce287,tg:mmbdc:98,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
493ac90b-fa10-50e3-b7ec-8daf6fcce287,tg:mmbdc:98,e73_CreationActors,2,au::115284:1,"Verelst, Willem",signers,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst"",""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""resourceArk"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
8218acd3-4429-5d35-8f51-80631e753e87,tg:mmbdc:99,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
8218acd3-4429-5d35-8f51-80631e753e87,tg:mmbdc:99,e73_CreationActors,2,au::115284:1,"Verelst, Willem",signers,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst"",""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""resourceArk"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
451148b0-73dd-5072-a62c-7894d342d278,tg:mmbdc:100,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
451148b0-73dd-5072-a62c-7894d342d278,tg:mmbdc:100,e73_CreationActors,2,au::115284:1,"Verelst, Willem",signers,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst"",""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""resourceArk"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
87b9b8a4-4859-52a1-8a7d-9d7f03b3e997,tg:mmbdc:101,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
87b9b8a4-4859-52a1-8a7d-9d7f03b3e997,tg:mmbdc:101,e73_CreationActors,2,au::115284:1,"Verelst, Willem",signers,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst"",""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""resourceArk"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
2f82e820-2bab-52cb-9dbf-5ef24a341dad,tg:mmbdc:102,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
2f82e820-2bab-52cb-9dbf-5ef24a341dad,tg:mmbdc:102,e73_CreationActors,2,au::115284:1,"Verelst, Willem",signers,,"dlod={""suggest"":[""/agents/people/12220104"",""au::115284"",""au::115284:1"",""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""Willem Verelst"",""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50""],""name"":""Willem Verelst"",""ark"":""ark:/83110/x0/4e6db894-d57a-5b95-9367-ffbc76f48b50"",""uri"":""/agents/people/12220104"",""id"":""au::115284:1"",""resourceArk"":""ark:/83110/x0/d26da96d-b4c2-5e81-980d-6d12344bae35"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
f888f3d5-80db-5b5f-94aa-5a3d43548e52,tg:mmbdc:103,e73_CreationActors,1,au::115285:1,"Hertoghe, Eugène",authors,,"dlod={""suggest"":[""/agents/people/12220399"",""au::115285"",""au::115285:1"",""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""Eugène Hertoghe"",""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40""],""name"":""Eugène Hertoghe"",""ark"":""ark:/83110/x0/e0d587c2-0928-5c64-ad9f-ef780e3e7f40"",""uri"":""/agents/people/12220399"",""id"":""au::115285:1"",""resourceArk"":""ark:/83110/x0/1b817d91-e870-5d12-a985-a3ff350a7a51"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
