ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,tg:lhph:1640,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:1640,record identifiers,https://data.letterenhuis.be/ark:/24970/3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,object identifier,Foto's,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1e2a4d56-7212-4ecd-bf0b-4a07ba0db53c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9e83e499-4472-4b98-b18a-ad7dc978859d"", ""inverseOntologyProperty"": """"}]"
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,tg:lhph:1640,e73_Copyrights,,,,,,,1947.0,2062,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,tg:lhph:1640_#1,e73_CreationPlacesSource_lhph,1,,,,,,,,,,,,,,,,,,,,,lhph,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,tg:lhph:1640,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19470501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,tg:lhph:1640,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,tg:lhph:1640,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Eén Mei optocht.<br />
Op de eerste rij Lode Craeybeckx, Willem Eekelers, Adolf Molter en John Wilms.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000001511,referentienummer,,False,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:1640,brocade id,,False,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:1640/N,brocade url,,False,,,,,,,,,,,,,
3eb38eef-e3ae-5f58-b6b4-94a8f2fea79b,tg:lhph:1640,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2cdfaf1f-211e-537a-bd63-29b3fe91dd5b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""969cdb80-6cff-4e11-b26a-39e405d8d8b8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
