ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
68aef67f-e793-59ea-8520-36f55bf00ad9,tg:lhsc:9060,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:9060,record identifiers,https://data.letterenhuis.be/ark:/24970/68aef67f-e793-59ea-8520-36f55bf00ad9,object identifier,Beeldhouwwerken,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4d67e7e6-f6d9-457a-9d3a-0ca4c6794c5b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""17b95fd7-6679-44f4-8e66-17749c035d99"", ""inverseOntologyProperty"": """"}]"
68aef67f-e793-59ea-8520-36f55bf00ad9,tg:lhsc:9060,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
68aef67f-e793-59ea-8520-36f55bf00ad9,tg:lhsc:9060,e73_Descriptions,1.0,note.lhdetail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Bronzen beeld met bijbehorende sokkel (hout met marmeren blad)die zich bevindt nabij schab 13.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000769,referentienummer,False,,,,,,,,,,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:9060,brocade id,False,,,,,,,,,,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:9060/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,,e73_LegacyInformation,4,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Geschenk mevrouw Elisabeth Deroo.</p>
",herkomst,False,,,,,,,,,,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,tg:lhsc:9060,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3c99d683-6dc3-5002-a0ab-2b9a29984450"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8a199af8-b134-4346-b83f-498bcc018b1d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,tg:lhsc:9060,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred Cools.,constructed titles,Dutch (language),,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,tg:lhsc:9060,e73_Titles,,,au::21373,,,,lh,lhsc,Object,1ac8518a-78b0-5f27-a704-47afc4d2aa2f,ar,artists (visual artists),au::21373:1,au::21373g:1,,"dlod={""suggest"":[""/agents/people/2286911"",""au::21373"",""au::21373:1"",""ark:/83110/x0/1ac8518a-78b0-5f27-a704-47afc4d2aa2f"",""Ernest Wijnants"",""ark:/83110/x0/aba34208-2bec-5017-9c57-47bf42d88c33""],""name"":""Ernest Wijnants"",""ark"":""ark:/83110/x0/aba34208-2bec-5017-9c57-47bf42d88c33"",""uri"":""/agents/people/2286911"",""id"":""au::21373:1"",""resourceArk"":""ark:/83110/x0/1ac8518a-78b0-5f27-a704-47afc4d2aa2f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1ac8518a-78b0-5f27-a704-47afc4d2aa2f,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68aef67f-e793-59ea-8520-36f55bf00ad9,tg:lhsc:9060,e73_Titles,,,au::4366,,,,lh,lhsc,Object,e900e10d-a5f4-55d8-803c-641fa85b3149,kw,,au::4366:1,au::4366g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/467162"",""au::4366"",""au::4366:1"",""ark:/83110/x0/e900e10d-a5f4-55d8-803c-641fa85b3149"",""Alfred Cools"",""ark:/83110/x0/a0cb77a5-08ac-5c17-8318-80de06cae75b""],""name"":""Alfred Cools"",""ark"":""ark:/83110/x0/a0cb77a5-08ac-5c17-8318-80de06cae75b"",""uri"":""/agents/people/467162"",""id"":""au::4366:1"",""resourceArk"":""ark:/83110/x0/e900e10d-a5f4-55d8-803c-641fa85b3149"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e900e10d-a5f4-55d8-803c-641fa85b3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
