ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,tg:lhsc:903,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:903,record identifiers,https://data.letterenhuis.be/ark:/24970/c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,object identifier,Beeldhouwwerken,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fe642721-5fdc-4806-acbc-480737099d4c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9d83d24e-f6e9-4535-9dd1-082c4363035e"", ""inverseOntologyProperty"": """"}]"
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,tg:lhsc:903,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,2048,In Copyright,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,tg:lhsc:903,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,tg:lhsc:903,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,tg:lhsc:903,e73_Descriptions,1.0,note.lhdetail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Ovaal. gemonteerd op hout en ingelijst in houten kader, brons en zwart gepatineerd.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000291,referentienummer,False,,,,,,,,,,,,,,,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:903,brocade id,False,,,,,,,,,,,,,,,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:903/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,tg:lhsc:903,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fa6e9231-144f-5c4e-939e-18724e2142f5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""13fcb305-4ea4-481c-8b15-582ff7fc2616"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
c8f585cb-9158-5a6f-b8b8-cb72f2a20c43,tg:lhsc:903,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lambrecht Lambrecht,constructed titles,Dutch (language),,,,,,,,,,,,
