ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
10e0f45c-f53f-548c-b41a-09fda63f9b51,tg:lhsc:1210,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:1210,record identifiers,https://data.letterenhuis.be/ark:/24970/10e0f45c-f53f-548c-b41a-09fda63f9b51,object identifier,Beeldhouwwerken,,,,,,
10e0f45c-f53f-548c-b41a-09fda63f9b51,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""325e1103-ee3f-4736-a88e-ab920bffa989"", ""ontologyProperty"": """", ""resourceXresourceId"": ""18f1758d-8589-402f-84ff-1efb5e3fbcc9"", ""inverseOntologyProperty"": """"}]"
10e0f45c-f53f-548c-b41a-09fda63f9b51,tg:lhsc:1210,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929.0,2044,In Copyright,
10e0f45c-f53f-548c-b41a-09fda63f9b51,tg:lhsc:1210,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19290824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10e0f45c-f53f-548c-b41a-09fda63f9b51,tg:lhsc:1210,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929-08-24,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10e0f45c-f53f-548c-b41a-09fda63f9b51,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000585,referentienummer,False,,,,,,,,,,,,,,,,,,,,
10e0f45c-f53f-548c-b41a-09fda63f9b51,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1210,brocade id,False,,,,,,,,,,,,,,,,,,,,
10e0f45c-f53f-548c-b41a-09fda63f9b51,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:1210/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
10e0f45c-f53f-548c-b41a-09fda63f9b51,,e73_LegacyInformation,2,note.lhherkomst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>schenker: Paul A. Van de Woestijne, 14.2.2003</p>
",herkomst,False,,,,,,,,,,,,,,,,,,,,
10e0f45c-f53f-548c-b41a-09fda63f9b51,tg:lhsc:1210,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6f5f6644-e7a7-57d8-a7c4-9294b79b789f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""16b43623-7cdb-4952-b128-48847b462765"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
