ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,tg:lhob:613,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhob:613,record identifiers,https://data.letterenhuis.be/ark:/24970/a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,object identifier,Voorwerpen,,,,,,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b251fdc0-fec5-480e-89e6-f336b0ff0c29"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0870e4b1-6055-4d0c-ab3c-5fc519598711"", ""inverseOntologyProperty"": """"}]"
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,tg:lhob:613,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898.0,2013,No Known Copyright,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,tg:lhob:613,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,tg:lhob:613,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,tg:lhob:613,e73_Descriptions,1.0,note.lhdetail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Recto: [Het gekroonde wapenschild van Barelona met een vleermuis bovenop de kroon. Rond het wapenschild allerlei attributen uit de wereld van de kunst, agricultuur, industrie en handel. Rondom het geheel een decoratieve rand met bogen en insecten met vleugels &amp; cerci]. Rondschrift: AYUNTAMIENTO CONSTITUCIONAL / BARCELONA. Signatuur links: SOLÁ Y CAMATS G. Signatuur rechts: CASTELLS. Verso: [Een lauwerkrans bestaande uit een lauriertak (links) en een eikentak (rechts)]. Rondschrift: CUARTA EXPOSICIÓN DE BELLAS ARTES É INDUSTRIAS ARTÍSTICAS / 1898. In het middenveld van de lauwerkrans: CHARLES MERTENS.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ob/000000515,referentienummer,False,,,,,,,,,,,,,,,,,,,,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhob:613,brocade id,False,,,,,,,,,,,,,,,,,,,,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhob:613/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
a4eaf841-6cd4-58a4-91cf-cea23a2fdc39,tg:lhob:613,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0de9e7e6-d7e0-5a69-a74f-79d69c04a675"", ""ontologyProperty"": """", ""resourceXresourceId"": ""86b5f352-d35e-400d-bfb6-9049f19215eb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
