ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhob:349,record identifiers,https://data.letterenhuis.be/ark:/24970/d03a9db7-d6ce-54ac-b487-711058b02df1,object identifier,Voorwerpen,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f9759a7c-c185-45d5-8791-24285ed14703"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7cbe962f-e947-46d3-94d7-1fe2131471d1"", ""inverseOntologyProperty"": """"}]"
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.0,2071,In Copyright,
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,datum vóór,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Een paar brilglazen in een papieren zakje, met een doktersvoorschrift.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ob/000000286,referentienummer,False,,,,,,,,,,,,,,,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhob:349,brocade id,False,,,,,,,,,,,,,,,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhob:349/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""78cb0c40-c862-5571-bd74-d73addfdd93f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e7bab054-af1a-4593-a38c-904c1d04f349"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
d03a9db7-d6ce-54ac-b487-711058b02df1,tg:lhob:349,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brilglazen van Basiel de Craene,titles proper,Dutch (language),,,,,,,,,,,,
