brocade.id,Legacy Information Code,Legacy Information Value,dataset,card,Legacy Information Type,ResourceID, card
tg:lhph:35079,d:lh:189250,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/3_/35_/tg_lhph_35079.tif,lhph,e73_LegacyImages,image high resolution,2cbbc0e9-f4d0-54cf-8cee-ce93bb9d2485,e73_LegacyImages
tg:lhph:4265,d:lh:226694,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/C_/C34_Conscience_Hendrik/tg_lhph_4265.tif,lhph,e73_LegacyImages,image high resolution,e4a660bf-358a-556f-b91b-5f87f5ff8b86,e73_LegacyImages
tg:lhph:428,d:lh:261801,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/4_/42_/tg_lhph_428.tif,lhph,e73_LegacyImages,image high resolution,d9021e47-7e7e-596e-9eb8-483c69083fd5,e73_LegacyImages
tg:lhph:4742,d:lh:220355,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/B_/B6612_Boeck_August_de/tg_lhph_4742.tif,lhph,e73_LegacyImages,image high resolution,2b39e616-9e4c-51cd-ac6b-552407bafc12,e73_LegacyImages
tg:lhph:7206,d:lh:223463,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/7_/72_/tg_lhph_7206.tif,lhph,e73_LegacyImages,image high resolution,c3c4bb15-4cd6-5f72-9b38-a1a995f29070,e73_LegacyImages
tg:lhph:7821,d:lh:288849,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/V_/V575_Victor_Rene/tg_lhph_7821.tif,lhph,e73_LegacyImages,image high resolution,72621cd9-5e11-54dd-9fd1-64f946351bb5,e73_LegacyImages
tg:lhph:7822,d:lh:288850,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/V_/V575_Victor_Rene/tg_lhph_7822.tif,lhph,e73_LegacyImages,image high resolution,1c9767ce-d541-5003-bdcb-63a58b62ca25,e73_LegacyImages
tg:lhph:7824,d:lh:288847,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/V_/V575_Victor_Rene/tg_lhph_7824.tif,lhph,e73_LegacyImages,image high resolution,e91dcd12-97a8-51a5-bc0f-c766834074d2,e73_LegacyImages
tg:lhph:7825,d:lh:288848,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/V_/V575_Victor_Rene/tg_lhph_7825.tif,lhph,e73_LegacyImages,image high resolution,1bfa9fde-e1c8-5bf2-bb6d-03fc35ad2af1,e73_LegacyImages
tg:lhph:48014,d:lh:253025,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/S_/S59_Seuphor_Michel/tg_lhph_48014.tif,lhph,e73_LegacyImages,image high resolution,123eacd5-e6ba-5d62-aa11-6717da8499d4,e73_LegacyImages
tg:lhph:48015,d:lh:253024,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/S_/S59_Seuphor_Michel/tg_lhph_48015.tif,lhph,e73_LegacyImages,image high resolution,b2ba0ed2-4846-54f8-9540-1e6cb7a22fda,e73_LegacyImages
tg:lhph:48038,d:lh:252858,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/S_/S59_Seuphor_Michel/tg_lhph_48038.tif,lhph,e73_LegacyImages,image high resolution,9054b7e6-d346-5054-b67e-2d81329ee697,e73_LegacyImages
tg:lhph:48365,d:lh:253021,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/S_/S59_Seuphor_Michel/tg_lhph_48515.tif,lhph,e73_LegacyImages,image high resolution,0d37669d-2ee9-5d4b-9f4a-b2dbe2752b39,e73_LegacyImages
tg:lhph:7819,d:lh:288872,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_05_fotos/V_/V575_Victor_Rene/tg_lhph_7819.tif,lhph,e73_LegacyImages,image high resolution,1f2aef38-67dd-5e52-bd10-d801c51932af,e73_LegacyImages
