ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
76f2ab89-fd8b-50a3-8e80-940020c89646,tg:lhbr:4353,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:4353,record identifiers,https://data.letterenhuis.be/ark:/24970/76f2ab89-fd8b-50a3-8e80-940020c89646,object identifier,Brieven,,,,,,
76f2ab89-fd8b-50a3-8e80-940020c89646,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7e160b54-dec3-4c89-867e-6780daa1d285"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f89140b9-f1eb-44de-94f5-bf1123705e83"", ""inverseOntologyProperty"": """"}]"
76f2ab89-fd8b-50a3-8e80-940020c89646,tg:lhbr:4353,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0,2089,In Copyright,
76f2ab89-fd8b-50a3-8e80-940020c89646,tg:lhbr:4353,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19741202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76f2ab89-fd8b-50a3-8e80-940020c89646,tg:lhbr:4353,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1974-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76f2ab89-fd8b-50a3-8e80-940020c89646,tg:lhbr:4353,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
76f2ab89-fd8b-50a3-8e80-940020c89646,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000004058,referentienummer,False,,,,,,,,,,,,,,,
76f2ab89-fd8b-50a3-8e80-940020c89646,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:4353,brocade id,False,,,,,,,,,,,,,,,
76f2ab89-fd8b-50a3-8e80-940020c89646,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:4353/N,brocade url,False,,,,,,,,,,,,,,,
76f2ab89-fd8b-50a3-8e80-940020c89646,tg:lhbr:4353,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""12cc5590-8a0a-51a2-b5a8-24b816835dcf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3e662f8c-e25b-435c-b39a-4a2979bb1c27"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
