ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
9e45e323-ac08-5613-a52b-d4923ec9a28f,e73_LegacyInformation,1,if.rawcontent,"<record>
			<priref>3387</priref>
			<number>AFG_024_012</number>
			<content> 1 zw/w foto geheel [met schema]; 3 details.</content>
			<object.object_number>AFG_024</object.object_number>
			<object.object_name>schilderij</object.object_name>
			<class>AFG</class>
			<editorial_form>foto</editorial_form>
			<object.title>The Months: The Hunters in the Snow</object.title>
			<object.creator>Bruegel, Pieter I</object.creator>
			<input.date>2012-05-07</input.date>
			<edit.date>2014-02-20</edit.date>
			<edit.date>2012-05-07</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>14:15:02</edit.time>
			<edit.time>14:48:09</edit.time>
			<input.time>14:46:28</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False
9e45e323-ac08-5613-a52b-d4923ec9a28f,e73_LegacyInformation,0,id.objectNumber,BE-ANN14/gr/000001130,referentienummer,False
9e45e323-ac08-5613-a52b-d4923ec9a28f,e73_LegacyInformation,1,brocade.id,tg:rubgr:1130,brocade id,False
9e45e323-ac08-5613-a52b-d4923ec9a28f,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacrubobj/tg:rubgr:1130/N,brocade url,False
41d4d044-8bd2-5b13-9e1c-68858e7f8a99,e73_LegacyInformation,1,if.rawcontent,"<record>
			<priref>3302</priref>
			<number>AFG_022_081</number>
			<content>15 Maandenreeks Marten van Valckenborch (I), Kunsthistorisch Museum Wenen; 1 foto met stempel van Warburg Institute, zonder notities [= Abel Grimmer met figuren van Frans II Francken, Interieur met Christus bij Martha en Maria, KMSKB, inv. 312]; 1 foto van prent, zonder notities, met stempel van Warburg Institute [= Herder en melkmeisje]; 1 foto, zonder notities [= Simon Bening, Maand Augustus, Korenoogst, in: Golfboek, British Library Add MS 24098]; 5 foto's met stempel van Warburg Institute, geheel, in klein formaat, Maanden, Wenen; 1 detail uit Augustus/September, New York.</content>
			<object.object_number>AFG_022</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>foto</editorial_form>
			<object.title>Valckenborch, Bruegel, Months</object.title>
			<keyword>Bening, Simon</keyword>
			<keyword>Francken, Frans II</keyword>
			<keyword>Grimmer, Abel</keyword>
			<keyword>Valckenborch, Maerten van</keyword>
			<keyword>Brussel, Koninklijke Musea voor Schone Kunsten van Belgi&#235;</keyword>
			<keyword>Londen, British Library</keyword>
			<keyword>Londen, The Warburg Institute Library</keyword>
			<keyword>Wenen, Kunsthistorisches Museum</keyword>
			<object.creator>Bruegel, Pieter I</object.creator>
			<input.date>2012-04-17</input.date>
			<edit.date>2015-02-18</edit.date>
			<edit.date>2012-09-17</edit.date>
			<edit.date>2012-06-29</edit.date>
			<edit.date>2012-06-29</edit.date>
			<edit.date>2012-06-25</edit.date>
			<edit.date>2012-06-25</edit.date>
			<edit.date>2012-04-24</edit.date>
			<edit.date>2012-04-23</edit.date>
			<edit.date>2012-04-18</edit.date>
			<edit.date>2012-04-18</edit.date>
			<edit.date>2012-04-17</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>15:17:12</edit.time>
			<edit.time>12:16:22</edit.time>
			<edit.time>14:18:51</edit.time>
			<edit.time>14:17:19</edit.time>
			<edit.time>16:19:38</edit.time>
			<edit.time>16:19:06</edit.time>
			<edit.time>12:25:38</edit.time>
			<edit.time>10:12:49</edit.time>
			<edit.time>10:52:04</edit.time>
			<edit.time>10:38:34</edit.time>
			<edit.time>13:56:10</edit.time>
			<input.time>13:55:25</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False
41d4d044-8bd2-5b13-9e1c-68858e7f8a99,e73_LegacyInformation,0,id.objectNumber,BE-ANN14/gr/000001048,referentienummer,False
41d4d044-8bd2-5b13-9e1c-68858e7f8a99,e73_LegacyInformation,1,brocade.id,tg:rubgr:1048,brocade id,False
41d4d044-8bd2-5b13-9e1c-68858e7f8a99,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacrubobj/tg:rubgr:1048/N,brocade url,False
16efc67f-124a-530c-b828-2d56a75d7263,e73_LegacyInformation,1,if.rawcontent,"<record>
			<priref>4819</priref>
			<number>AFG_083_127</number>
			<part_of_reference>AFG_083_117</part_of_reference>
			<content>1 zw/w foto: [Notitie FG]: Inv.nr. 6479, Vienna, Kunsthistorisches Museum, Panel, 90 x 112 cm. Karling: composition by Bruegel 'Stockholm version' orginally P.B.I. In the transformation of the faces there is some similarity to the Good Magnaguagno. Copy after the 'Peasant falling' out at Cards.' Landscape close to Jan B.?? but distant background on right slightly different!</content>
			<object.object_number>AFG_083</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>Korte inhoud: [Taal, Duits] Zendt foto van De Overval, inv.nr. 6479, paneel, 90 x112 cm. Verwijst naar Gl&#252;ck 1951, p. 106. Deelt mee dat Sten Karling hem ervan op de hoogte bracht dat hij het werk in 1972 onderzocht. Het werk is gesigneert en gedateerd. Karling beschouwt het als een originele Pieter Bruegel I. Demus verwijst naar Marlier 1969, p. 277f. en Faggin 1964, p. 94 vn 14 en collectiecatalogus Stockholm 1912, nr. 17.
Het Weense werk werd nog niet onderzocht. Maar zeker is dat het overschilderd werd en hij dateert het ca. 1600. Het landschap werd er dan vermoedelijk aan toegevoegd. Hij brengt het in verband met een werk op de veiling in Moskou. Het werk komt in ieder geval uit het Belvedere-depot. Mogelijk is het in oude inventarissen onopgemerkt gebleven. Marlier's vermoeden dat de compositie van M. van Cleve is moet nu na de ontdekking in Stockholm ongegrond verklaard worden vermits de oorspronkelijke signatuur en datering ongegrond blijken te zijn. Signaleert dat Karling datering en signatuur heeft ontdekt. Omdat Karling het waarschijnlijk nog niet gepubliceerd heeft moet dit nog even geheimgehouden worden. Deelt in p.s. het onderzoek van Simone Bergmans  in het KIK mee over 'P&#233;lerinage des Epileptiques &#224; Molenbeek-Saint Jean de Pierre Bruegel', nu in Brussel en dat ze nu toeschrijft aan Pieter Bruegel I.</part_of.title>
			<class>AFG</class>
			<editorial_form>foto</editorial_form>
			<object.title>Cleve, Marten van</object.title>
			<keyword>Bruegel, Pieter I</keyword>
			<keyword>Brueghel, Jan I</keyword>
			<keyword>Karling, Sten</keyword>
			<keyword>Wenen, Kunsthistorisches Museum</keyword>
			<object.creator/>
			<input.date>2014-01-23</input.date>
			<edit.date>2018-05-23</edit.date>
			<edit.date>2014-01-29</edit.date>
			<edit.date>2014-01-23</edit.date>
			<edit.date>2014-01-23</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>sa73120</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.time>18:19:42</edit.time>
			<edit.time>14:29:21</edit.time>
			<edit.time>16:41:08</edit.time>
			<edit.time>16:38:19</edit.time>
			<input.time>16:33:36</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False
16efc67f-124a-530c-b828-2d56a75d7263,e73_LegacyInformation,0,id.objectNumber,BE-ANN14/gr/000002577,referentienummer,False
