ResourceID,brocade.id,card,order,source_field,kenmerken.rubobjnrgr,isaad,Associated Archive
07aed2ec-fdbe-5ba6-9a16-08d4e656671f,tg:rubgr:4310,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_003,isad:rub:2933,
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_050,isad:rub:2980,
7ff44e61-e01f-5e16-ba7f-dffec65b46ff,tg:rubgr:3400,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_046,isad:rub:2976,
2e8255db-80f3-551d-86a3-09dca678188a,tg:rubgr:2304,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_044,isad:rub:2974,
2f740096-4fcd-5b8f-8fc5-6aa789509a1b,tg:rubgr:1326,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_083,isad:rub:3013,
ada0f3ea-52a4-5de6-bde5-910d69adf19e,tg:rubgr:2377,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_009,isad:rub:2939,
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_005,isad:rub:2935,
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,e73_AssociatedArchives,3,kenmerken.rubobjnrgr,AFG_007,isad:rub:2937,
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,e73_AssociatedArchives,4,kenmerken.rubobjnrgr,AFG_017,isad:rub:2947,
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,e73_AssociatedArchives,5,kenmerken.rubobjnrgr,AFG_019,isad:rub:2949,
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,e73_AssociatedArchives,6,kenmerken.rubobjnrgr,AFG_026,isad:rub:2956,
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,e73_AssociatedArchives,7,kenmerken.rubobjnrgr,AFG_033,isad:rub:2963,
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,e73_AssociatedArchives,8,kenmerken.rubobjnrgr,AFG_037,isad:rub:2967,
62a18e27-4942-5e62-8349-628c609a730e,tg:rubgr:3301,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_011,isad:rub:2941,
64801985-58bf-5aee-a28b-cf1cc6b0015b,tg:rubgr:2467,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_070,isad:rub:3000,
68c96a1d-6e16-55f9-b38e-aa29a07ff7dd,tg:rubgr:2375,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_019,isad:rub:2949,
be34e0a0-c71d-540f-93a2-08cf7251017d,tg:rubgr:2574,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_046,isad:rub:2976,
1b592d00-21b3-5f2c-960a-602561c351d0,tg:rubgr:2084,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_041,isad:rub:2971,
c4e4d9cb-f698-5d91-a7d9-3ac9b9c863b8,tg:rubgr:2378,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_009,isad:rub:2939,
31c8eee5-d8d9-5bbe-b4df-9b6b073f0838,tg:rubgr:4787,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_125,isad:rub:3047,
282c2ac7-eb0a-5378-9852-b706fa79a949,tg:rubgr:862,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_041,isad:rub:2971,
b41619e2-542f-54ae-8c07-e343aa17f7ca,tg:rubgr:4476,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_021,isad:rub:2951,
c8a69b94-fe29-5607-8b04-ba7cb219a936,tg:rubgr:2295,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_038,isad:rub:2968,
dabf88e3-ea8f-5b95-a6f9-308aedd28788,tg:rubgr:2174,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_039,isad:rub:2969,
6cdf19b3-066b-5698-ab61-c22938999f31,tg:rubgr:2164,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,AFG_011,isad:rub:2941,
