ResourceID,brocade.id,card,order,Keeper,Object Number,Object Identifier,Record Type
9e45e323-ac08-5613-a52b-d4923ec9a28f,tg:rubgr:1130,AA,0,Rubenianum,tg:rubgr:1130,https://data.rubenianum.be//ark:/86530/9e45e323-ac08-5613-a52b-d4923ec9a28f,Foto's
41d4d044-8bd2-5b13-9e1c-68858e7f8a99,tg:rubgr:1048,AA,0,Rubenianum,tg:rubgr:1048,https://data.rubenianum.be//ark:/86530/41d4d044-8bd2-5b13-9e1c-68858e7f8a99,Foto's
16efc67f-124a-530c-b828-2d56a75d7263,tg:rubgr:2577,AA,0,Rubenianum,tg:rubgr:2577,https://data.rubenianum.be//ark:/86530/16efc67f-124a-530c-b828-2d56a75d7263,Foto's
1feb38a0-4184-57f3-92a5-449b8900a94d,tg:rubgr:2601,AA,0,Rubenianum,tg:rubgr:2601,https://data.rubenianum.be//ark:/86530/1feb38a0-4184-57f3-92a5-449b8900a94d,Foto's
c23be030-75eb-5731-8394-dc8f7b74e304,tg:rubgr:3436,AA,0,Rubenianum,tg:rubgr:3436,https://data.rubenianum.be//ark:/86530/c23be030-75eb-5731-8394-dc8f7b74e304,Foto's
68671868-8c15-5c97-a88d-451a6bd1a5a1,tg:rubgr:1397,AA,0,Rubenianum,tg:rubgr:1397,https://data.rubenianum.be//ark:/86530/68671868-8c15-5c97-a88d-451a6bd1a5a1,Foto's
41646104-061b-58e2-97c7-d75526d2557f,tg:rubgr:1387,AA,0,Rubenianum,tg:rubgr:1387,https://data.rubenianum.be//ark:/86530/41646104-061b-58e2-97c7-d75526d2557f,Foto's
41e38a9a-6f5e-5bf8-98c6-f32568556140,tg:rubgr:374,AA,0,Rubenianum,tg:rubgr:374,https://data.rubenianum.be//ark:/86530/41e38a9a-6f5e-5bf8-98c6-f32568556140,Foto's
403e04e0-99d1-5eb1-84f2-0fd960b6ad7c,tg:rubgr:2291,AA,0,Rubenianum,tg:rubgr:2291,https://data.rubenianum.be//ark:/86530/403e04e0-99d1-5eb1-84f2-0fd960b6ad7c,Foto's
f00d235c-0265-5059-9073-9090437b14e0,tg:rubgr:3585,AA,0,Rubenianum,tg:rubgr:3585,https://data.rubenianum.be//ark:/86530/f00d235c-0265-5059-9073-9090437b14e0,Foto's
3f4882e7-2156-50ad-a957-b12c1adb704d,tg:rubgr:2673,AA,0,Rubenianum,tg:rubgr:2673,https://data.rubenianum.be//ark:/86530/3f4882e7-2156-50ad-a957-b12c1adb704d,Foto's
1b56e8c9-f703-5ea8-89a7-522b24958aa5,tg:rubgr:2515,AA,0,Rubenianum,tg:rubgr:2515,https://data.rubenianum.be//ark:/86530/1b56e8c9-f703-5ea8-89a7-522b24958aa5,Foto's
76bcbd31-48ff-5795-a470-2bde7a197ac1,tg:rubgr:2505,AA,0,Rubenianum,tg:rubgr:2505,https://data.rubenianum.be//ark:/86530/76bcbd31-48ff-5795-a470-2bde7a197ac1,Foto's
b40a3314-d12e-5182-b572-f9b4c6a3b02e,tg:rubgr:53,AA,0,Rubenianum,tg:rubgr:53,https://data.rubenianum.be//ark:/86530/b40a3314-d12e-5182-b572-f9b4c6a3b02e,Foto's
d5ab01e5-834f-5d86-93ed-bd48d18a7b4a,tg:rubgr:2687,AA,0,Rubenianum,tg:rubgr:2687,https://data.rubenianum.be//ark:/86530/d5ab01e5-834f-5d86-93ed-bd48d18a7b4a,Foto's
d6e771e8-1e58-5e6d-9000-d239ea086b59,tg:rubgr:875,AA,0,Rubenianum,tg:rubgr:875,https://data.rubenianum.be//ark:/86530/d6e771e8-1e58-5e6d-9000-d239ea086b59,Foto's
debdb05c-6fcc-510f-af0e-baea07c2a750,tg:rubgr:3324,AA,0,Rubenianum,tg:rubgr:3324,https://data.rubenianum.be//ark:/86530/debdb05c-6fcc-510f-af0e-baea07c2a750,Foto's
8f9d4bdc-49dc-5899-a716-7a55e9a231b1,tg:rubgr:3334,AA,0,Rubenianum,tg:rubgr:3334,https://data.rubenianum.be//ark:/86530/8f9d4bdc-49dc-5899-a716-7a55e9a231b1,Foto's
61208dac-8a8e-5bd2-891b-c9dac4248092,tg:rubgr:1279,AA,0,Rubenianum,tg:rubgr:1279,https://data.rubenianum.be//ark:/86530/61208dac-8a8e-5bd2-891b-c9dac4248092,Foto's
5927e9c6-d540-5b52-a837-253e2c1c8c6f,tg:rubgr:3419,AA,0,Rubenianum,tg:rubgr:3419,https://data.rubenianum.be//ark:/86530/5927e9c6-d540-5b52-a837-253e2c1c8c6f,Foto's
ea58ae57-3beb-5687-a3c3-7dde4b31653c,tg:rubgr:2275,AA,0,Rubenianum,tg:rubgr:2275,https://data.rubenianum.be//ark:/86530/ea58ae57-3beb-5687-a3c3-7dde4b31653c,Foto's
3ac99a10-14b5-56e2-b1f0-b960ec33ed93,tg:rubgr:4641,AA,0,Rubenianum,tg:rubgr:4641,https://data.rubenianum.be//ark:/86530/3ac99a10-14b5-56e2-b1f0-b960ec33ed93,Foto's
c91fe4a8-0538-5f67-82d4-7531ea37ddf1,tg:rubgr:2430,AA,0,Rubenianum,tg:rubgr:2430,https://data.rubenianum.be//ark:/86530/c91fe4a8-0538-5f67-82d4-7531ea37ddf1,Foto's
741a0ead-6c6a-5bc8-ad4f-a0eddbf5e38d,tg:rubgr:2548,AA,0,Rubenianum,tg:rubgr:2548,https://data.rubenianum.be//ark:/86530/741a0ead-6c6a-5bc8-ad4f-a0eddbf5e38d,Foto's
