ResourceID,brocade.id,card,order,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type
68671868-8c15-5c97-a88d-451a6bd1a5a1,tg:rubgr:1397,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:174496,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
41e38a9a-6f5e-5bf8-98c6-f32568556140,tg:rubgr:374,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13265393,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
16e1dee2-135a-5ea2-87e8-73755c94bfa9,tg:rubgr:2645,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13126762,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
3a9f1d7c-4091-5592-bf28-4c55e52eba26,tg:rubgr:1318,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13257359,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
2f740096-4fcd-5b8f-8fc5-6aa789509a1b,tg:rubgr:1326,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:174496,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
24e99f58-7a24-5009-addf-a2286849e5b2,tg:rubgr:1648,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:882044,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
c2e95891-d5fe-5e42-9bd9-2ab2f9d9c2b8,tg:rubgr:2626,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13248124,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
95497ada-2a0e-51c4-a1e3-6bb082105e2b,tg:rubgr:2333,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13249158,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
cc246775-3079-55df-b07b-be4b37ef14ac,tg:rubgr:2672,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:104521,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
094b1e6a-fb10-5f5b-9cfc-f1a1a512634b,tg:rubgr:232,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:174496,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,"p. 315, nr. 8",Nederlands,remarks
094b1e6a-fb10-5f5b-9cfc-f1a1a512634b,tg:rubgr:232,e73_ExternalRelations,2,gepubliceerd in /als,c:lvd:6566850,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,"p. 43, nr. 3",Nederlands,remarks
094b1e6a-fb10-5f5b-9cfc-f1a1a512634b,tg:rubgr:232,e73_ExternalRelations,3,gepubliceerd in /als,c:lvd:3008988,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,"p. 319, A279",Nederlands,remarks
bb12196f-e08a-5608-a307-d418ada105d0,tg:rubgr:2679,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:814718,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
c9636db2-836e-5e54-a156-a6b2b909ac97,tg:rubgr:2085,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:12879084,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
c9636db2-836e-5e54-a156-a6b2b909ac97,tg:rubgr:2085,e73_ExternalRelations,2,gepubliceerd in /als,c:lvd:13241740,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
c9636db2-836e-5e54-a156-a6b2b909ac97,tg:rubgr:2085,e73_ExternalRelations,3,gepubliceerd in /als,c:lvd:13265243,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
5ff16fdf-ffce-5892-949d-a8d8431ec4bf,tg:rubgr:2646,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:7006277,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
68c96a1d-6e16-55f9-b38e-aa29a07ff7dd,tg:rubgr:2375,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13259922,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
68c96a1d-6e16-55f9-b38e-aa29a07ff7dd,tg:rubgr:2375,e73_ExternalRelations,2,gepubliceerd in /als,c:lvd:13255078,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
85daac65-0bdc-5c07-9bb9-8ebb1d060295,tg:rubgr:866,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13126762,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
cdb0317d-4784-5bf7-87b7-bd542e50c9a6,tg:rubgr:2684,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13257418,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
931e776c-4cde-5a59-8092-a24eb9b837bb,tg:rubgr:1395,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:963530,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
1501a300-821b-57ba-ba5d-ee388f1ad578,tg:rubgr:2685,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13257418,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
fcb9061a-6de6-5007-9932-c937b7042d63,tg:rubgr:231,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13233632,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
2846af04-26e3-5315-9499-1707e7dc7abc,tg:rubgr:3278,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13257359,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
5e3da9a4-b604-5bf1-ad1f-26c25b6fb953,tg:rubgr:2411,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:6527505,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
60024bf2-04c6-5cdd-b9cf-8c7f68bbcb60,tg:rubgr:2395,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:1099083,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
2da92245-dd1c-50a4-9895-6f9116343b76,tg:rubgr:1647,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13267925,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
810e529c-4cfb-5f36-9b0e-339276216d32,tg:rubgr:1316,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:174496,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
cdeb7067-b99f-5a09-92d6-17d2fdf373a9,tg:rubgr:235,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:174496,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,"p. 316, nr. 14, figs. 187-188 (niet in AFG)",Nederlands,remarks
cdeb7067-b99f-5a09-92d6-17d2fdf373a9,tg:rubgr:235,e73_ExternalRelations,2,gepubliceerd in /als,c:lvd:6566850,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,"pp. 41-43, nr. 14 (niet in AFG)",Nederlands,remarks
cdeb7067-b99f-5a09-92d6-17d2fdf373a9,tg:rubgr:235,e73_ExternalRelations,3,gepubliceerd in /als,c:lvd:3008988,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,"p. 317, E*267",Nederlands,remarks
d7b4392a-9999-5d7a-b1c6-51d7ca60c42d,tg:rubgr:1889,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13257386,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
3284df85-3d3e-525e-824d-3b5458cfdc71,tg:rubgr:285,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13265393,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
df3facf0-800b-5a3f-8bf2-d13da174eef7,tg:rubgr:3389,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:13265314,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
4fa9643d-e296-549e-9932-84a73acd50de,tg:rubgr:1644,e73_ExternalRelations,1,gepubliceerd in /als,c:lvd:206782,https://anet.be/record/rub/opacrub/,Bibliotheekcatalogus van het Rubenianum,,,
