brocade.id,Legacy Information Code,Legacy Information Value,dataset,card,Legacy Information Type,ResourceID, card
tg:lhbr:100426,d:lh:222977,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/M_/M655_Minne_Georges/tg_lhbr_100426,lhbr,e73_LegacyImages,image high resolution,7c2cef8e-3806-5db0-8b43-fdc4236e5973,e73_LegacyImages
tg:lhbr:100442,d:lh:222976,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/M_/M655_Minne_Georges/tg_lhbr_100442,lhbr,e73_LegacyImages,image high resolution,de63fb1d-dd69-5f26-a5c4-29670fefe786,e73_LegacyImages
tg:lhbr:108791,d:lh:232641,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/O_/O155_Oever_Karel_van_den/tg_lhbr_108791,lhbr,e73_LegacyImages,image high resolution,f32a956a-c127-585f-afc4-486b46b35c58,e73_LegacyImages
tg:lhbr:111319,d:lh:248608,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/O_/O3945_Ostaijen_Paul_van/tg_lhbr_111319,lhbr,e73_LegacyImages,image high resolution,4b83a7ae-340c-51fe-984d-b9be4d03a3e1,e73_LegacyImages
tg:lhbr:111466,d:lh:244993,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/O_/O3945_Ostaijen_Paul_van/tg_lhbr_111466.tif,lhbr,e73_LegacyImages,image high resolution,7552ecd3-cbcf-5e9e-b04f-4346a7b76978,e73_LegacyImages
tg:lhbr:114834,d:lh:244189,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114834.tif,lhbr,e73_LegacyImages,image high resolution,073851f8-e8cd-5a52-90a7-1a50535f270f,e73_LegacyImages
tg:lhbr:114835,d:lh:244424,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114835.tif,lhbr,e73_LegacyImages,image high resolution,bff73f4e-3c86-54f6-9715-61e5338bcf31,e73_LegacyImages
tg:lhbr:114836,d:lh:244413,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114836.tif,lhbr,e73_LegacyImages,image high resolution,84e6a73e-2e26-556a-b611-85442b9f19ee,e73_LegacyImages
tg:lhbr:114837,d:lh:244414,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114837,lhbr,e73_LegacyImages,image high resolution,e04f782e-3ae2-57c8-9135-3006a2328aa0,e73_LegacyImages
tg:lhbr:114838,d:lh:244417,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114838,lhbr,e73_LegacyImages,image high resolution,940f987a-9163-5e3a-9caf-62bf35ab8476,e73_LegacyImages
tg:lhbr:114839,d:lh:244906,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114839.tif,lhbr,e73_LegacyImages,image high resolution,c6467efe-afeb-59fe-9327-b5952e826e83,e73_LegacyImages
tg:lhbr:114840,d:lh:244912,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114840.tif,lhbr,e73_LegacyImages,image high resolution,6d5a7038-782d-53b3-ba5d-6d6758aa8ae6,e73_LegacyImages
tg:lhbr:114841,d:lh:244911,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114841.tif,lhbr,e73_LegacyImages,image high resolution,5db8c03d-f57d-5877-88bd-9024d02e3d44,e73_LegacyImages
tg:lhbr:114842,d:lh:244910,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114842.tif,lhbr,e73_LegacyImages,image high resolution,795836a5-41b1-51af-9b28-ad74b5c2cb84,e73_LegacyImages
tg:lhbr:114843,d:lh:244909,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114843.tif,lhbr,e73_LegacyImages,image high resolution,be21bb0a-5d95-5fe2-ad8f-997c5322063d,e73_LegacyImages
tg:lhbr:114844,d:lh:244914,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114844,lhbr,e73_LegacyImages,image high resolution,85b4fd5f-5d14-53ed-b50a-1157bb8ee951,e73_LegacyImages
tg:lhbr:114845,d:lh:244913,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114845,lhbr,e73_LegacyImages,image high resolution,6d008b40-169e-5ba7-8edc-cfa52e0b38fc,e73_LegacyImages
tg:lhbr:114846,d:lh:244976,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114846,lhbr,e73_LegacyImages,image high resolution,5ac125ec-666a-50fd-99e9-401c643dbb41,e73_LegacyImages
tg:lhbr:114847,d:lh:244975,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114847,lhbr,e73_LegacyImages,image high resolution,3f7ce3e5-979d-5710-90eb-712368f9445e,e73_LegacyImages
tg:lhbr:114848,d:lh:244908,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114848,lhbr,e73_LegacyImages,image high resolution,666ca762-1be2-5d7a-8f00-618991024a1a,e73_LegacyImages
tg:lhbr:114849,d:lh:244907,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114849.tif,lhbr,e73_LegacyImages,image high resolution,9c299556-e628-5a52-aee9-768f578482a5,e73_LegacyImages
tg:lhbr:114850,d:lh:244903,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114850,lhbr,e73_LegacyImages,image high resolution,76e15e49-531e-5516-83de-3b3d327753f8,e73_LegacyImages
tg:lhbr:114851,d:lh:244904,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114851,lhbr,e73_LegacyImages,image high resolution,d1854de8-184b-5633-b7d9-b850d666a960,e73_LegacyImages
tg:lhbr:114852,d:lh:244905,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_114852,lhbr,e73_LegacyImages,image high resolution,cc750482-7c5d-54fb-a826-305cfd5ef72b,e73_LegacyImages
tg:lhbr:114853,d:lh:244151,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R5845_Roelants_Maurice/tg_lhbr_114853.tif,lhbr,e73_LegacyImages,image high resolution,7a975465-26f5-56c4-a93a-0d58b1e66c29,e73_LegacyImages
tg:lhbr:116484,d:lh:232135,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P549_Plancquaert_Hector/tg_lhbr_116484,lhbr,e73_LegacyImages,image high resolution,b5798acf-45dc-5b7e-8d23-08b510e3b388,e73_LegacyImages
tg:lhbr:117418,d:lh:272624,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117418,lhbr,e73_LegacyImages,image high resolution,98641c8b-76e4-5a66-930b-177b4fcac028,e73_LegacyImages
tg:lhbr:117419,d:lh:272433,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117419,lhbr,e73_LegacyImages,image high resolution,8b8d0b27-3e7d-5c94-8a11-c5a398c0579b,e73_LegacyImages
tg:lhbr:117420,d:lh:272642,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117420,lhbr,e73_LegacyImages,image high resolution,9acd6a96-f96a-5d5e-a4b1-3ad2b520fbc3,e73_LegacyImages
tg:lhbr:117421,d:lh:272643,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117421,lhbr,e73_LegacyImages,image high resolution,071a9c2d-89bb-53de-b2a9-63fbc9fd1cd0,e73_LegacyImages
tg:lhbr:117422,d:lh:272644,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117422,lhbr,e73_LegacyImages,image high resolution,3d79543e-ce79-5f13-b3fb-0345d9ba3a7e,e73_LegacyImages
tg:lhbr:117423,d:lh:272645,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117423,lhbr,e73_LegacyImages,image high resolution,b4d54507-830c-5055-9bad-9e6818dbe37c,e73_LegacyImages
tg:lhbr:117424,d:lh:272445,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117424,lhbr,e73_LegacyImages,image high resolution,01469906-d30a-574f-9ce8-1f851f1b4074,e73_LegacyImages
tg:lhbr:117425,d:lh:272446,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P7452_Posenaer_Jozef/tg_lhbr_117425,lhbr,e73_LegacyImages,image high resolution,062fec51-8760-5d72-b51e-27c2d48c5e86,e73_LegacyImages
tg:lhbr:119559,d:lh:227291,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R161_Ram_Hilda/tg_lhbr_119559,lhbr,e73_LegacyImages,image high resolution,4b66dd86-d736-5c74-9704-2fb19573323a,e73_LegacyImages
tg:lhbr:122203,d:lh:238490,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R564_Robbers_Herman/tg_lhbr_122203,lhbr,e73_LegacyImages,image high resolution,5ef4171d-7f6e-575c-8da0-6e45f44ba371,e73_LegacyImages
tg:lhbr:122204,d:lh:238491,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R564_Robbers_Herman/tg_lhbr_122204,lhbr,e73_LegacyImages,image high resolution,e60869c1-9201-5147-8d64-a81a44d148d3,e73_LegacyImages
tg:lhbr:123148,d:lh:223550,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R5845_Roelants_Maurice/tg_lhbr_123148,lhbr,e73_LegacyImages,image high resolution,a7906ead-6f35-5617-a78d-5096576db0fe,e73_LegacyImages
tg:lhbr:123149,d:lh:223831,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R5845_Roelants_Maurice/tg_lhbr_123149.tif,lhbr,e73_LegacyImages,image high resolution,77540e92-4830-5026-a6dc-139ba4716fa1,e73_LegacyImages
tg:lhbr:123150,d:lh:223829,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R5845_Roelants_Maurice/tg_lhbr_123150.tif,lhbr,e73_LegacyImages,image high resolution,78360c5d-017d-536c-bc88-16e4bab7432a,e73_LegacyImages
tg:lhbr:128032,d:lh:245991,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R926_Ryelandt_Joseph/tg_lhbr_128032.tif,lhbr,e73_LegacyImages,image high resolution,86803c53-83b7-558f-9448-45616fb6e8cd,e73_LegacyImages
tg:lhbr:128057,d:lh:245982,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R926_Ryelandt_Joseph/tg_lhbr_128057,lhbr,e73_LegacyImages,image high resolution,d8c23e12-fca0-5b97-8d88-fdf96f9cd583,e73_LegacyImages
tg:lhbr:13049,d:lh:223814,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B675_Boens_Daan/tg_lhbr_13049.tif,lhbr,e73_LegacyImages,image high resolution,3262126f-1980-545d-8eca-58611c1f2980,e73_LegacyImages
tg:lhbr:133819,d:lh:261190,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S6225_Simons_Jozef/tg_lhbr_133819.tif,lhbr,e73_LegacyImages,image high resolution,8413a09d-5b05-5014-a234-ea2eb2748cc7,e73_LegacyImages
tg:lhbr:138488,d:lh:251441,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/tg_lhbr_138488,lhbr,e73_LegacyImages,image high resolution,734dc708-2099-57f9-9045-7af56ec0116d,e73_LegacyImages
tg:lhbr:140750,d:lh:243631,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/T_/T176_Teirlinck_Herman/tg_lhbr_140750,lhbr,e73_LegacyImages,image high resolution,34ad4dd6-f7f6-5edf-8c35-25785848d20f,e73_LegacyImages
