brocade.id,dams_uuid,ResourceID,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
tg:lhbr:100426_#1,UQLVaZD8NEXpw4YGW3gsnYrG,5e0a3283-5da1-535e-b175-a73eab3ba8f4,lhbr,https://dams.antwerpen.be/iiif/UQLVaZD8NEXpw4YGW3gsnYrG/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/UQLVaZD8NEXpw4YGW3gsnYrG,DAMS Image,lhbr,Brief
tg:lhbr:100442_#1,IIGdVbSXTUWlDVaNZjtZ3BEN,a9f569b8-e9fa-58ac-bd53-675fadd43a5a,lhbr,https://dams.antwerpen.be/iiif/IIGdVbSXTUWlDVaNZjtZ3BEN/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/IIGdVbSXTUWlDVaNZjtZ3BEN,DAMS Image,lhbr,Brief
tg:lhbr:108791_#1,b2WLPrFSEOdJImaYfcgJ29Bj,06c2d3a6-4ab1-5278-a7bf-692d961be9aa,lhbr,https://dams.antwerpen.be/iiif/b2WLPrFSEOdJImaYfcgJ29Bj/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/b2WLPrFSEOdJImaYfcgJ29Bj,DAMS Image,lhbr,Brief
tg:lhbr:111319_#1,q1I7pTgWk9OeogRxU6CJNxjp,9d4a6a65-040c-5f4a-a9ba-51215829c5d0,lhbr,https://dams.antwerpen.be/iiif/q1I7pTgWk9OeogRxU6CJNxjp/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/q1I7pTgWk9OeogRxU6CJNxjp,DAMS Image,lhbr,Brief
tg:lhbr:111466_#1,aC5yldRicSigWMHZUjM5HKI0,664bd54c-69a8-5603-9e31-e1a1d53b7132,lhbr,https://dams.antwerpen.be/iiif/aC5yldRicSigWMHZUjM5HKI0/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/aC5yldRicSigWMHZUjM5HKI0,DAMS Image,lhbr,Brief
tg:lhbr:112060_#1,u2YHKVnBKNM9wKhbgbOB0vMZ,a694a937-fdd8-54fc-82c3-0585d3593d95,lhbr,https://dams.antwerpen.be/iiif/u2YHKVnBKNM9wKhbgbOB0vMZ/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/u2YHKVnBKNM9wKhbgbOB0vMZ,DAMS Image,lhbr,Brief
tg:lhbr:112061_#1,D2OU9TVclmnWN4CFpU323LOm,31d2fa57-d359-5f1e-9d8f-dd3569cd9318,lhbr,https://dams.antwerpen.be/iiif/D2OU9TVclmnWN4CFpU323LOm/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/D2OU9TVclmnWN4CFpU323LOm,DAMS Image,lhbr,Brief
tg:lhbr:112062_#1,r1MAGWcWBcWIgFdGQPW42ly0,98b384c4-65f5-5f8c-9084-bf79a46fd76a,lhbr,https://dams.antwerpen.be/iiif/r1MAGWcWBcWIgFdGQPW42ly0/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/r1MAGWcWBcWIgFdGQPW42ly0,DAMS Image,lhbr,Brief
tg:lhbr:114834_#1,GdXCYIvGHnNiGDvTWCmwhEWd,ac3c3701-2f78-50c1-8969-615b740a747e,lhbr,https://dams.antwerpen.be/iiif/GdXCYIvGHnNiGDvTWCmwhEWd/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/GdXCYIvGHnNiGDvTWCmwhEWd,DAMS Image,lhbr,Brief
tg:lhbr:114835_#1,j1QclabnTWJAMoehaE36k4o1,cc62e1e1-7870-5c49-be19-9c26c3be588c,lhbr,https://dams.antwerpen.be/iiif/j1QclabnTWJAMoehaE36k4o1/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/j1QclabnTWJAMoehaE36k4o1,DAMS Image,lhbr,Brief
tg:lhbr:114836_#1,f1WYYNvmp99Qb38RmVuH0yB6,a73adc30-c9d5-515e-ac2d-5c63911201af,lhbr,https://dams.antwerpen.be/iiif/f1WYYNvmp99Qb38RmVuH0yB6/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/f1WYYNvmp99Qb38RmVuH0yB6,DAMS Image,lhbr,Brief
tg:lhbr:114837_#1,I1goKXHeDZFjSXbMrMuMkrkI,23b7cc50-f35c-548c-bc05-c7a2b89906d3,lhbr,https://dams.antwerpen.be/iiif/I1goKXHeDZFjSXbMrMuMkrkI/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/I1goKXHeDZFjSXbMrMuMkrkI,DAMS Image,lhbr,Brief
tg:lhbr:114838_#1,ohUPYcn4ndURFnaFmDQc5Eop,085cd6b3-579a-52ac-911a-429a2b19cd0a,lhbr,https://dams.antwerpen.be/iiif/ohUPYcn4ndURFnaFmDQc5Eop/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/ohUPYcn4ndURFnaFmDQc5Eop,DAMS Image,lhbr,Brief
tg:lhbr:114839_#1,N2TWpVU9TXKOUcHHcRyboEa5,80c7baf9-70da-5fe1-9a9d-6e72a1b9943a,lhbr,https://dams.antwerpen.be/iiif/N2TWpVU9TXKOUcHHcRyboEa5/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/N2TWpVU9TXKOUcHHcRyboEa5,DAMS Image,lhbr,Brief
tg:lhbr:114840_#1,bZbkfKlaqGYZVnlUPixgujHJ,f88eeef9-af00-584c-92e6-6edbb9752050,lhbr,https://dams.antwerpen.be/iiif/bZbkfKlaqGYZVnlUPixgujHJ/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/bZbkfKlaqGYZVnlUPixgujHJ,DAMS Image,lhbr,Brief
tg:lhbr:114841_#1,Z1WkMK9ZQTDRTOrMbQCawN4T,b7c9f988-7f06-5028-993f-2591e0c92205,lhbr,https://dams.antwerpen.be/iiif/Z1WkMK9ZQTDRTOrMbQCawN4T/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/Z1WkMK9ZQTDRTOrMbQCawN4T,DAMS Image,lhbr,Brief
tg:lhbr:114842_#1,IgObSR9KGXKPhZaHLaTLrUdA,077c9af6-0e52-5f39-8d4a-c230c7843f2a,lhbr,https://dams.antwerpen.be/iiif/IgObSR9KGXKPhZaHLaTLrUdA/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/IgObSR9KGXKPhZaHLaTLrUdA,DAMS Image,lhbr,Brief
tg:lhbr:114843_#1,L1JgXOgNUYXpGzhWXhMIiRms,29658a0e-55c4-5da7-966d-3d02ec581dd1,lhbr,https://dams.antwerpen.be/iiif/L1JgXOgNUYXpGzhWXhMIiRms/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/L1JgXOgNUYXpGzhWXhMIiRms,DAMS Image,lhbr,Brief
tg:lhbr:114844_#1,Y2KKOjWOHaTbclFGma3jPPap,27fb0a11-5ce5-51b4-b1b9-0db85b2475fd,lhbr,https://dams.antwerpen.be/iiif/Y2KKOjWOHaTbclFGma3jPPap/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/Y2KKOjWOHaTbclFGma3jPPap,DAMS Image,lhbr,Brief
tg:lhbr:114845_#1,gbPNvUANKtVBQXFYjFqdmFWV,7cdabe49-02ea-5506-a4b3-b604d45389c8,lhbr,https://dams.antwerpen.be/iiif/gbPNvUANKtVBQXFYjFqdmFWV/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/gbPNvUANKtVBQXFYjFqdmFWV,DAMS Image,lhbr,Brief
tg:lhbr:114846_#1,VFDTIk99MTtiMpu6ZeZAqFoq,02935c0c-2c12-58b5-81a4-4c91e7b8b159,lhbr,https://dams.antwerpen.be/iiif/VFDTIk99MTtiMpu6ZeZAqFoq/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/VFDTIk99MTtiMpu6ZeZAqFoq,DAMS Image,lhbr,Brief
tg:lhbr:114847_#1,QH3XNCYodUIalJbZZpH4zVkG,9144ab38-475d-549f-b892-1e1ab2e432dc,lhbr,https://dams.antwerpen.be/iiif/QH3XNCYodUIalJbZZpH4zVkG/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/QH3XNCYodUIalJbZZpH4zVkG,DAMS Image,lhbr,Brief
tg:lhbr:114848_#1,e1O6VUo8aTfD2lPMcOMiVZdE,10c71736-26a1-500b-9ba5-b234e9ab0c54,lhbr,https://dams.antwerpen.be/iiif/e1O6VUo8aTfD2lPMcOMiVZdE/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/e1O6VUo8aTfD2lPMcOMiVZdE,DAMS Image,lhbr,Brief
tg:lhbr:114849_#1,d1QWPZXRfgVKXUknEZUtVTgi,cdd67020-c0a3-52be-9751-0929df20df45,lhbr,https://dams.antwerpen.be/iiif/d1QWPZXRfgVKXUknEZUtVTgi/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/d1QWPZXRfgVKXUknEZUtVTgi,DAMS Image,lhbr,Brief
tg:lhbr:114850_#1,DNTrXYMYtFTGNZguLfc1lxU2,9a5c98e3-0599-5d3d-9db5-ed6d82b81c5e,lhbr,https://dams.antwerpen.be/iiif/DNTrXYMYtFTGNZguLfc1lxU2/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/DNTrXYMYtFTGNZguLfc1lxU2,DAMS Image,lhbr,Brief
tg:lhbr:114851_#1,hOM9iNgRXMCsaclNSKIfrp1L,24967710-836b-5e0f-9476-e388d157e549,lhbr,https://dams.antwerpen.be/iiif/hOM9iNgRXMCsaclNSKIfrp1L/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/hOM9iNgRXMCsaclNSKIfrp1L,DAMS Image,lhbr,Brief
tg:lhbr:114852_#1,y1RVHVUJechkHMUaVMOyjgEI,d93b7ecb-d22e-5e4a-90f4-f3ffad75cf7c,lhbr,https://dams.antwerpen.be/iiif/y1RVHVUJechkHMUaVMOyjgEI/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/y1RVHVUJechkHMUaVMOyjgEI,DAMS Image,lhbr,Brief
tg:lhbr:114853_#1,N2MabadPnGUciUMIGVqccHQZ,ae148f72-28f5-555b-9399-c778fb687b54,lhbr,https://dams.antwerpen.be/iiif/N2MabadPnGUciUMIGVqccHQZ/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/N2MabadPnGUciUMIGVqccHQZ,DAMS Image,lhbr,Brief
tg:lhbr:116484_#1,f2NoOYfZbWMHjlbhFU1FwBN4,60f7eb83-a175-5d33-938f-ec2cecf301d6,lhbr,https://dams.antwerpen.be/iiif/f2NoOYfZbWMHjlbhFU1FwBN4/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/f2NoOYfZbWMHjlbhFU1FwBN4,DAMS Image,lhbr,Brief
tg:lhbr:117418_#1,lSIVDI3IqHbgWepGl3rHfkIu,d745770b-5d6d-568b-8e02-a06eacb223d3,lhbr,https://dams.antwerpen.be/iiif/lSIVDI3IqHbgWepGl3rHfkIu/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/lSIVDI3IqHbgWepGl3rHfkIu,DAMS Image,lhbr,Brief
tg:lhbr:117419_#1,V2AkXYUmRhbiaCMbeUNXECQ8,307f7407-b202-5c6c-ac4a-0cadf74da5a5,lhbr,https://dams.antwerpen.be/iiif/V2AkXYUmRhbiaCMbeUNXECQ8/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/V2AkXYUmRhbiaCMbeUNXECQ8,DAMS Image,lhbr,Brief
tg:lhbr:117420_#1,I2LMabeabUhrTZWOPrW9oSz4,c5fa99bd-be7b-503d-9140-948edd025401,lhbr,https://dams.antwerpen.be/iiif/I2LMabeabUhrTZWOPrW9oSz4/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/I2LMabeabUhrTZWOPrW9oSz4,DAMS Image,lhbr,Brief
