ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language
ef27f8b2-777a-5779-9663-4e15075016b0,tg:lhbr:262214,e73_Descriptions,,id.desc,Deze brief aan Opsteller der Gazette van Gend .,descriptive note,Nederlands
0489018e-9a2d-518f-b2c4-0bad27e87e4c,tg:lhbr:300380,e73_Descriptions,,id.desc,Willy Juwet aan Hubert Lampo,descriptive note,Nederlands
b373f317-0d6c-530e-98a9-dc0ef754c40e,tg:lhbr:264758,e73_Descriptions,,id.desc,Frans Bastiaense aan E. de Bom,descriptive note,Nederlands
b9cdcb3b-c5f2-585c-8f8e-7770984dd6a6,tg:lhbr:265252,e73_Descriptions,,id.desc,P. Verdoes [Nieuwe Rotterdamsche Courant] aan E. de Bom,descriptive note,Nederlands
8ae66482-0f9b-5760-880a-3344e95cdb15,tg:lhbr:240897,e73_Descriptions,,id.desc,Brief aan Eugeen de Bock,descriptive note,Nederlands
e5afff1b-f7d0-5ca8-8e72-245c46f68de0,tg:lhbr:245650,e73_Descriptions,,id.desc,"Tweede kant.
Eerste kant is vermist.",descriptive note,Nederlands
4c6ee535-f351-506c-baa6-5e92593868fb,tg:lhbr:303192,e73_Descriptions,,id.desc,René Turkry aan Hubert Lampo,descriptive note,Nederlands
374ac2a5-3209-598b-a2bc-beaaefedc245,tg:lhbr:298528,e73_Descriptions,,id.desc,Lucia Lampo aan Heiko ter Horst,descriptive note,Nederlands
e6b1ee7d-5c65-599c-b113-1f4d82f4fbb2,tg:lhbr:243274,e73_Descriptions,,id.desc,brief van Decort,descriptive note,Nederlands
4311ea87-2f74-5417-b752-7dce20d7abdf,tg:lhbr:240887,e73_Descriptions,,id.desc,Brief aan Jan Blockx,descriptive note,Nederlands
bca98d34-e6a2-5883-8c79-65df28edb1f4,tg:lhbr:265242,e73_Descriptions,,id.desc,E. de Bom aan Victor E. van Vriesland [Nieuwe Rotterdamsche Courant],descriptive note,Nederlands
01d27a01-93b0-57a0-b8e4-47c28ee2bf44,tg:lhbr:216832,e73_Descriptions,1,note.lhcontentbr,"<p>Bericht van adresverandering en nieuwjaarswens van Marc uit Sint-Antonius-Brecht.</p>
",descriptive note,Nederlands
574e742e-d35c-555c-a02f-fabf3b9f1c84,tg:lhbr:239722,e73_Descriptions,,id.desc,"Uitnodiging voor de ""opening van de literaire kring Het nieuw Onkruid"".  
bijgevoegd 2 gesigneerde prentkaarten.",descriptive note,Nederlands
88e88fd7-a15b-574c-9329-4026857878e9,tg:lhbr:253075,e73_Descriptions,,id.desc,Brieven aan Kiyoshi Satoh,descriptive note,Nederlands
57d9d2d8-207c-59ac-b73f-61665c1251c1,tg:lhbr:142670,e73_Descriptions,,id.desc,Brief aan Dhr.en Mevr. Rotthier-Ryckoord,descriptive note,Nederlands
66f86823-1440-5cc3-a95d-aea16054efba,tg:lhbr:303182,e73_Descriptions,,id.desc,René Turkry aan Hubert Lampo,descriptive note,Nederlands
9681342f-68dd-5c77-b943-fc7a56261f2e,tg:lhbr:298538,e73_Descriptions,,id.desc,Theo Huet aan Hubert Lampo,descriptive note,Nederlands
54d43f2b-450c-5d9a-8aca-55e4927ae6d9,tg:lhbr:267267,e73_Descriptions,,id.desc,Brief van Robert Mathy,descriptive note,Nederlands
081a8013-ee94-542a-80b3-fbe3fe17a524,tg:lhbr:262441,e73_Descriptions,,id.desc,Brieven aan Mieke Ontrop,descriptive note,Nederlands
684d04b7-82f0-56fa-aceb-9fc6d3d9e418,tg:lhbr:298205,e73_Descriptions,,id.desc,Robin Hannelore aan Hubert Lampo,descriptive note,Nederlands
c2f54922-dc59-5a59-88fe-98fa205e7d1e,tg:lhbr:235867,e73_Descriptions,2,note.lhcontentbr,"<p>Bevat een ingevuld vragenformulier over Maurice Gilliams, door Jacques Gelaude.</p>
",descriptive note,Nederlands
5b60b953-08f9-5f9a-9655-c8027cc9c256,tg:lhbr:251050,e73_Descriptions,,id.desc,Brieven van Adriaan van der Horst,descriptive note,Nederlands
16fb0095-8278-5010-bd65-b93a7a77d801,tg:lhbr:263033,e73_Descriptions,,id.desc,Deze brief van Opsteler van Gaz. Gent .,descriptive note,Nederlands
3f0ad09a-7c32-55e2-8858-baf11d0185a2,tg:lhbr:277887,e73_Descriptions,,id.desc,Neel Doff aan E. de Bom,descriptive note,Nederlands
