ResourceID,brocade.id,card,order,number,type,Legacy Information Value,Legacy Information Type,Legacy Information Published
75adc835-fd41-53f9-a975-7f6489fa57a8,tg:lhbr:92109,e73_LegacyInformationMerged,1,14,brgr,14 brgr,groepsbeschrijving,False
1c4ec183-c35d-5db3-859b-8370e42a53e4,tg:lhbr:286931,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
829de711-f55a-58e6-992c-4d0e1b1e023c,tg:lhbr:142660,e73_LegacyInformationMerged,1,6,brgr,6 brgr,groepsbeschrijving,False
cd0c0fda-caca-50a4-9e22-365da0f4ca52,tg:lhbr:202096,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
5ebf957a-f1ab-53c3-a0f4-89462eb0d5dc,tg:lhbr:163610,e73_LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
2ed08151-6346-54a9-a8ca-94c67af74514,tg:lhbr:229533,e73_LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
929707be-7df3-5f9f-9043-cb5ee439a969,tg:lhbr:231487,e73_LegacyInformationMerged,1,15,brgr,15 brgr,groepsbeschrijving,False
762327eb-ae69-5779-ab73-a235bc537cce,tg:lhbr:61913,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
e7abcafc-ac2b-512d-9547-58fb92b4f4a7,tg:lhbr:80410,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
03d6b2d8-2d86-5748-abb8-637a95e1669e,tg:lhbr:271207,e73_LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
e37ee314-b33a-5138-aa30-c154309aec44,tg:lhbr:137824,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
0881ad3e-a2e4-5d87-ab49-46575ffa6732,tg:lhbr:264620,e73_LegacyInformationMerged,1,5,brin,5 brin,groepsbeschrijving,False
835b06a9-bdfc-53ce-a685-c2769dbf5107,tg:lhbr:82270,e73_LegacyInformationMerged,1,13,brgr,13 brgr,groepsbeschrijving,False
15084686-e032-5993-b2cb-9e7a0d77a727,tg:lhbr:153013,e73_LegacyInformationMerged,1,18,brgr,18 brgr,groepsbeschrijving,False
77e565ff-7e01-546b-98ab-1dd59c7bac87,tg:lhbr:247030,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
a954e528-0968-570d-a73a-cbe9aa3d9443,tg:lhbr:139744,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
809f4941-aca1-578f-b2b6-40f80484bf47,tg:lhbr:73583,e73_LegacyInformationMerged,1,14,brgr,14 brgr,groepsbeschrijving,False
43983bca-19da-5d71-bf32-cf9e6ea306ea,tg:lhbr:16127,e73_LegacyInformationMerged,1,17,brgr,17 brgr,groepsbeschrijving,False
c029bc4f-8e7d-552b-8c11-54225be155a5,tg:lhbr:231497,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
b74a01d8-0ad5-5f84-a42d-ea5c3d2ae927,tg:lhbr:86034,e73_LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
d419386a-9e65-518d-8e0f-d9df3e4b9c1c,tg:lhbr:53960,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
363df6ed-b13b-5780-adf7-b33ccb47e939,tg:lhbr:62288,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
2011a8c1-cb40-5a13-a4a0-cf44516071f3,tg:lhbr:286921,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
b1587509-282c-5da8-bc46-45bdb7c55241,tg:lhbr:202086,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
512bbd6f-2c13-5578-b682-8560f5895f0e,tg:lhbr:242606,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
e89dba2a-08af-57ff-a146-e3e3cf6e27ea,tg:lhbr:276251,e73_LegacyInformationMerged,1,3,brin,3 brin,groepsbeschrijving,False
2044764e-4aa5-52ff-b2e4-f3ff2ca66adc,tg:lhbr:201294,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
3ec39ada-da66-5ddc-b6d7-1b2469f8336a,tg:lhbr:82260,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
5c4e21e0-dd4f-5729-9105-13832848e07e,tg:lhbr:286859,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
b423ed33-e9c7-5c6d-b535-63ab48444b9c,tg:lhbr:271217,e73_LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
a6f599ce-0d65-5fc1-a7f7-f26468c812c8,tg:lhbr:61903,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
