ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:7991,record identifiers,https://data.letterenhuis.be/ark:/24970/0acde583-e433-551d-b4ba-5d9e519f3e94,object identifier,Affiches,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c12c5c30-0b63-4719-8b78-cf298afe34c9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e4dfe9c6-c858-46f8-8985-45b9f9efd150"", ""inverseOntologyProperty"": """"}]"
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.0,2054,In Copyright,
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19390723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>7de Vlaamsch Nationaal Zangfeest / Groote Markt</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1939-07-23,,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Brugge,,,Brugge (West-Vlaanderen),au::101017,2b64837d-b46f-5b45-a1cb-3e054239dcd9,Brugge (Arrondissement Brugge),au::101023,a27575bb-282d-5cfe-9356-05a49b29067f,au::101017,2b64837d-b46f-5b45-a1cb-3e054239dcd9,au::101023,au::101023,remarks,Nederlands,"dlod={""name"":""Brugge (Arrondissement Brugge)"",""ark"":""ark:/83110/x0/a27575bb-282d-5cfe-9356-05a49b29067f"",""uri"":""/subjects/10809461"",""id"":""au::101023"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000007855,referentienummer,False,,,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:7991,brocade id,False,,,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:7991/N,brocade url,False,,,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e524a7bf-8ba6-5879-952d-3f7c5be8c09c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f3e8fb0f-f5ac-446f-bf05-e8e2382fd80a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
0acde583-e433-551d-b4ba-5d9e519f3e94,tg:lhps:7991,e73_MaterialRecords,2,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fef2c7f5-1cd7-5226-a716-bdbbb7c4179b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""50351de3-fa71-4fc0-af5d-f2bd1711d4aa"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
