ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
60aadf26-8902-5172-9614-283a132ba267,tg:lhps:61364,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:61364,https://data.letterenhuis.be/ark:/24970/60aadf26-8902-5172-9614-283a132ba267,Affiches,,,,,
60aadf26-8902-5172-9614-283a132ba267,tg:lhps:61364,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928.0,2043,In Copyright
60aadf26-8902-5172-9614-283a132ba267,tg:lhps:61364,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60aadf26-8902-5172-9614-283a132ba267,tg:lhps:61364,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1683 - 1928 / Parochiale kerk van O.-L.-Vrouw / Plechtige Octaaf met vollen aflaat van wege de Broederschap tot lafenis der 
Geloovige Zielen / Orde der Goddelijke Diensten / De Sermoenen 
zullen gepredikt worden door Pater A. Nuyens, Dominicaan / Requiescant in Pace",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60aadf26-8902-5172-9614-283a132ba267,tg:lhps:61364,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1928,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60aadf26-8902-5172-9614-283a132ba267,tg:lhps:61364_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141:1,tg:lhps:61364_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
60aadf26-8902-5172-9614-283a132ba267,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000057153,referentienummer,False,,,,,,,,,,,,,,,
60aadf26-8902-5172-9614-283a132ba267,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:61364,brocade id,False,,,,,,,,,,,,,,,
60aadf26-8902-5172-9614-283a132ba267,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:61364/N,brocade url,False,,,,,,,,,,,,,,,
60aadf26-8902-5172-9614-283a132ba267,tg:lhps:61364,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e4c886b2-7807-5058-9df4-588fe8a2114b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9d93d968-b730-43c3-8fc6-4231e6dacda9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
