ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
1ee3cc35-827d-5640-b231-8c228a864745,tg:lhps:9637,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:9637,https://data.letterenhuis.be/ark:/24970/1ee3cc35-827d-5640-b231-8c228a864745,Affiches,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,tg:lhps:9637,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924.0,2039,In Copyright
1ee3cc35-827d-5640-b231-8c228a864745,tg:lhps:9637,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19241116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,tg:lhps:9637,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,KVO / Carmen / van Georges Bizet / Orkestleider: Karel Candael / Regie: Henry Engelen,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,tg:lhps:9637,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1924-11-16,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,tg:lhps:9637_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:9637_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000009455,referentienummer,False,,,,,,,,,,,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:9637,brocade id,False,,,,,,,,,,,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:9637/N,brocade url,False,,,,,,,,,,,,,,,
1ee3cc35-827d-5640-b231-8c228a864745,tg:lhps:9637,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f3f238a9-4c61-571e-b05c-b1603c458839"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c23e4f8a-7f90-4f9a-b88e-d8c22dd06804"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
