ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:55620,https://data.letterenhuis.be/ark:/24970/62119c95-a905-55f0-93bb-e72678fca2a4,Affiches,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,2131,In Copyright
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20160828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cultuurmarkt Vlaanderen,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,2016-08-28,,reconstructie,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141:1,tg:lhps:55620_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,e73_LegacyImages,,,,,,,,lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/5_/55_/tg_lhps_55620.tif,image high resolution,,,,,,,,,,,,d:lh:287256,e73_LegacyImages,,,
62119c95-a905-55f0-93bb-e72678fca2a4,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000051431,referentienummer,False,,,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:55620,brocade id,False,,,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:55620/N,brocade url,False,,,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ed29a013-78bf-583f-8670-0e21b63b8e8e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""45c3c14d-307f-4b07-821d-35c0559118c4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
62119c95-a905-55f0-93bb-e72678fca2a4,tg:lhps:55620,e73_OriginalBrocade,,,au::18247,,,,lhps,,,ebb35800-ddcf-5009-8340-dc4dbac62fd6,kw,,au::18247:1,au::18247g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1952429"",""au::18247"",""au::18247:1"",""ark:/83110/x0/ebb35800-ddcf-5009-8340-dc4dbac62fd6"",""Theatermarkt""],""name"":""Theatermarkt"",""ark"":""ark:/83110/x0/ebb35800-ddcf-5009-8340-dc4dbac62fd6"",""uri"":""/agents/corporate_entities/1952429"",""id"":""au::18247:1"",""isCapacity"":false}",ark:/83110/x0/ebb35800-ddcf-5009-8340-dc4dbac62fd6,agent,,,,,,,,,
