ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:29135,https://data.letterenhuis.be/ark:/24970/aa95b441-95d3-5f90-83d9-f63d79a96f7d,Affiches,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Oude nummering Volkskunde: 93.21.418</p>
","<p>Oude nummering Volkskunde: 93.21.418</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.0,2032,In Copyright
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19170331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stad Antwerpen  
2de Jaarlijksche Groote Liefdadigheidsprijskamp van Bakspel (Jeu de Jacquet)",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1917-03-31,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:29135_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000028447,referentienummer,False,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:29135,brocade id,False,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:29135/N,brocade url,False,,,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6c32ab1a-5b4e-5485-912f-67263f417593"", ""ontologyProperty"": """", ""resourceXresourceId"": ""17fd883e-47e1-4bcb-a59b-1581fc229033"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
aa95b441-95d3-5f90-83d9-f63d79a96f7d,tg:lhps:29135,e73_OriginalBrocade,,,au::44849,,,,lhps,,,60a4c3d1-98fc-5ac8-b808-87b30bdcbe19,kw,,au::44849:1,au::44849g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""name"":""Volkssporten"",""ark"":""ark:/83110/x0/60a4c3d1-98fc-5ac8-b808-87b30bdcbe19"",""uri"":""/subjects/4798843"",""id"":""au::44849"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""topic""}",ark:/83110/x0/60a4c3d1-98fc-5ac8-b808-87b30bdcbe19,topic,,,,,,,,,
