ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:33949,record identifiers,https://data.letterenhuis.be/ark:/24970/b37969dd-722d-5f78-ba41-4ee7043ae54a,object identifier,Affiches,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Voor het eerste programma van het Münchense cabaret &quot;Die 11 Scharfrichter&quot;: de<br />
zangeres Marya Delvard (Marie Biller) in een hooggesloten lang kleed naast elf<br />
duivelskopjes</p>
<p>Kleurenlithografie; monogram l.o. &quot;TTH&quot;</p>
<p>pub: <em>Das frühe Plakat</em>, III, p. 110, nr. 1218 (variant)</p>
","<p>Voor het eerste programma van het Münchense cabaret &quot;Die 11 Scharfrichter&quot;: de<br />
zangeres Marya Delvard (Marie Biller) in een hooggesloten lang kleed naast elf<br />
duivelskopjes</p>
<p>Kleurenlithografie; monogram l.o. &quot;TTH&quot;</p>
<p>pub: <em>Das frühe Plakat</em>, III, p. 110, nr. 1218 (variant)</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5b357ef8-a8d3-42b3-b709-56a7b3238d13"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0bf23a78-abf6-44f8-b328-0e0d802a8fa3"", ""inverseOntologyProperty"": """"}]"
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,2016,No Known Copyright,
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Die 11 / Scharfrichter / Münchener Künstler</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1901,,reconstructie,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000033124,referentienummer,False,,,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:33949,brocade id,False,,,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:33949/N,brocade url,False,,,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4d3f67d8-2224-5093-b97d-5c3ab47516ab"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b7f98bd7-1d61-473a-b0ae-51b5a31d7991"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
b37969dd-722d-5f78-ba41-4ee7043ae54a,tg:lhps:33949,e73_Titles,,,au::58772,,,,lhps,lhps,Affiche,64f072ef-c9c7-5b66-b5d3-6e8b32a52e80,ds,designers,au::58772:1,au::58772g:1,,"dlod={""suggest"":[""/agents/people/6288604"",""au::58772"",""au::58772:1"",""ark:/83110/x0/64f072ef-c9c7-5b66-b5d3-6e8b32a52e80"",""Thomas Theodor Heine"",""ark:/83110/x0/6d868621-4e98-52a2-ae0c-cc395477e859""],""name"":""Thomas Theodor Heine"",""ark"":""ark:/83110/x0/6d868621-4e98-52a2-ae0c-cc395477e859"",""uri"":""/agents/people/6288604"",""id"":""au::58772:1"",""resourceArk"":""ark:/83110/x0/64f072ef-c9c7-5b66-b5d3-6e8b32a52e80"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/64f072ef-c9c7-5b66-b5d3-6e8b32a52e80,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
