ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:7051,record identifiers,https://data.letterenhuis.be/ark:/24970/185f3c4b-ce7e-5f61-a5ec-6518e457bd46,object identifier,Affiches,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2ff54a57-c696-49a9-8198-c3fede75779a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""885244df-7a46-442f-bae7-82f3b9c582d0"", ""inverseOntologyProperty"": """"}]"
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0,2086,In Copyright,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19710402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19710420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Gust Smet / Galerij Nova.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1971-04-02,1971-04-20,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Mechelen,,,Mechelen (Antwerpen),au::100211,36c34ff1-1fdc-50d0-a613-8db83400aac7,Mechelen (Mechelen),au::100231,8edb9f04-ad85-5c4a-aa2c-b4e509be84f2,au::100211,36c34ff1-1fdc-50d0-a613-8db83400aac7,au::100231,au::100231,remarks,Nederlands,"dlod={""name"":""Mechelen (Mechelen)"",""ark"":""ark:/83110/x0/8edb9f04-ad85-5c4a-aa2c-b4e509be84f2"",""uri"":""/subjects/10724717"",""id"":""au::100231"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000006922,referentienummer,False,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:7051,brocade id,False,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:7051/N,brocade url,False,,,,,,,,,,,,,,,,,
185f3c4b-ce7e-5f61-a5ec-6518e457bd46,tg:lhps:7051,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ba706638-45f0-515a-a1dc-8c4a1f0706cc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""94315a27-2dfb-41c4-a5bc-c4e41ca3ae1b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
