ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,Hallmark Type,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,Source Note,Source Note Type,Source Note Language,Mark Text,Mark Type,Mark Language,Material,Object Type,Other Identifier,Other Identifier Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:439_#1,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/1802ae71-ba7e-5bff-ab63-b9750936c329,object identifier,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_Archives,1,,,,,,isad:mpm:259,"dlod={""name"":""Catalogi en prijslijsten"",""ark"":""ark:/11975/x0/15020075-7cac-5c34-8d1a-52c627518b4e"",""uri"":""/repositories/10/archival_objects/27714"",""id"":""isad:mpm:259"",""nameWithContext"":[""Archief van de Officina Plantiniana"",""Drukkerij""],""resourceName"":""Plantin-Moretus archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Catalogi en prijslijsten"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/15020075-7cac-5c34-8d1a-52c627518b4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,23 x 19,,,,,,,,,,,,"23 x 19 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,230,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,190,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,4,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,,6,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmre,tg:mpmre:439_#1,Arch. 687,isad:mpm:259,10 Q 9 D,1802ae71-ba7e-5bff-ab63-b9750936c329,,Los stuk in het journaal van 1758 tussen fol. 7-8,remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_ObjectTypes,1,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blotters (bookkeeping records),,,,,,,,,,,,,,,,,,,
1802ae71-ba7e-5bff-ab63-b9750936c329,tg:mpmre:439_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758,open,,,,,,,,
