ResourceID,card,order,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Material,Carrier Type,Material Colour
aa901457-d319-5707-82f0-6d6664aae111,AA,0,Museum Mayer van den Bergh,tg:mmbtk:1_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/aa901457-d319-5707-82f0-6d6664aae111,Doos A.XII,ink,paper (fiber product),black (color)
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,AA,0,Museum Mayer van den Bergh,tg:mmbtk:2_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/89c086ae-dea1-57c1-864e-cba0dc1fbc8f,Doos XIX,ink,paper (fiber product),black (color)
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,AA,0,Museum Mayer van den Bergh,tg:mmbtk:3_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/6058ac12-8ccc-5f78-ac7d-04e06094ff1b,Doos XIX,ink,paper (fiber product),black (color)
e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84,AA,0,Museum Mayer van den Bergh,tg:mmbtk:4_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84,Doos XIX,ink,paper (fiber product),black (color)
c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f,AA,0,Museum Mayer van den Bergh,tg:mmbtk:5_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f,Doos XIX,ink,paper (fiber product),black (color)
bdebbf22-8cba-53d8-b061-91b121132463,AA,0,Museum Mayer van den Bergh,tg:mmbtk:6_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/bdebbf22-8cba-53d8-b061-91b121132463,Doos XIX,ink,paper (fiber product),black (color)
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,AA,0,Museum Mayer van den Bergh,tg:mmbtk:7_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/35b55d11-ef04-56ae-aadb-ba1cc68d2d17,Doos XIX,ink,paper (fiber product),black (color)
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,AA,0,Museum Mayer van den Bergh,tg:mmbtk:8_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/a354aeff-1559-5ca2-b8f8-e6a27f1ae270,Doos XIX,ink,paper (fiber product),black (color)
021df5ca-73c7-53b1-be94-f706e7de97ed,AA,0,Museum Mayer van den Bergh,tg:mmbtk:9_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/021df5ca-73c7-53b1-be94-f706e7de97ed,Doos XIX,ink,paper (fiber product),black (color)
cac4f6aa-9ae5-5293-a319-4056ac10e320,AA,0,Museum Mayer van den Bergh,tg:mmbtk:10_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/cac4f6aa-9ae5-5293-a319-4056ac10e320,Doos XIX,ink,paper (fiber product),black (color)
d1e773b7-7faa-5684-952b-d256d4026e22,AA,0,Museum Mayer van den Bergh,tg:mmbtk:11_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/d1e773b7-7faa-5684-952b-d256d4026e22,Doos XIX,ink,paper (fiber product),black (color)
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,AA,0,Museum Mayer van den Bergh,tg:mmbtk:12_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,Doos XIX,ink,paper (fiber product),black (color)
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,AA,0,Museum Mayer van den Bergh,tg:mmbtk:13_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,Doos XIX,ink,paper (fiber product),black (color)
317599d4-a3a1-5874-b430-d720f5e9cb97,AA,0,Museum Mayer van den Bergh,tg:mmbtk:14_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/317599d4-a3a1-5874-b430-d720f5e9cb97,Doos XIX,ink,paper (fiber product),black (color)
e4e0060b-ec49-5908-8fcd-da70137aec17,AA,0,Museum Mayer van den Bergh,tg:mmbtk:15_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/e4e0060b-ec49-5908-8fcd-da70137aec17,Doos XIX,ink,paper (fiber product),black (color)
292606a5-1be4-5872-bb12-380aca0a3397,AA,0,Museum Mayer van den Bergh,tg:mmbtk:16_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/292606a5-1be4-5872-bb12-380aca0a3397,Doos XIX,ink,paper (fiber product),black (color)
fafa34f9-fa2f-5a23-97fa-90308d228031,AA,0,Museum Mayer van den Bergh,tg:mmbtk:17_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/fafa34f9-fa2f-5a23-97fa-90308d228031,Doos XIX,ink,paper (fiber product),black (color)
44b787db-6025-590f-a670-526337c10576,AA,0,Museum Mayer van den Bergh,tg:mmbtk:18_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/44b787db-6025-590f-a670-526337c10576,Doos XIX,ink,paper (fiber product),black (color)
78f7334c-e93c-5795-bfdf-95ba8090a9d8,AA,0,Museum Mayer van den Bergh,tg:mmbtk:19_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/78f7334c-e93c-5795-bfdf-95ba8090a9d8,Doos XIX,ink,paper (fiber product),black (color)
