ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,End Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:19,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/f2a88090-8fa8-59c3-a946-6065c95ecdcb,object identifier,Tekeningen,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b1897aa6-2172-4a2f-85b1-ca5af78c5948"", ""ontologyProperty"": """", ""resourceXresourceId"": ""87cf5ef0-f72b-4675-b54c-67317bbc8cc7"", ""inverseOntologyProperty"": """"}]"
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646,1761,No Copyright - Public Domain Mark 1.0,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Voorstelling van de plant 'Ranunculus moscatella'</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,,,,c:lvd:13136549,https://anet.be/record/opacanet/,Publicaties in de Anet catalogus,,,,,,,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/218,referentienummer,False,,,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:19,brocade id,False,,,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:19/N,brocade url,False,,,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4da61ed6-63a1-5d83-bea9-45f5dca96b0b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c57d60b1-98b0-4718-bfad-9b9265f0fa5c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voorstelling van de 'Ranunculus moscatella',titles proper,Dutch (language),,,,,,,,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,e73_Titles,,,au::108916,,,,mpm,mpmtk,Iconografie,01c9e18d-54b1-528b-9c98-c578a4502bf6,ar,,au::108916:1,au::108916g:1,,,,au_code,artists (visual artists),,"dlod={""suggest"":[""/agents/people/11654012"",""au::108916"",""au::108916:1"",""ark:/83110/x0/01c9e18d-54b1-528b-9c98-c578a4502bf6"",""Jan Christoffel Jegher"",""ark:/83110/x0/ca3c0620-cc03-55a6-9549-97d7698a995e""],""name"":""Jan Christoffel Jegher"",""ark"":""ark:/83110/x0/ca3c0620-cc03-55a6-9549-97d7698a995e"",""uri"":""/agents/people/11654012"",""id"":""au::108916:1"",""resourceArk"":""ark:/83110/x0/01c9e18d-54b1-528b-9c98-c578a4502bf6"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/01c9e18d-54b1-528b-9c98-c578a4502bf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
