ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,End Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:26,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/ad8839e6-3553-5f26-9c38-c52a8ec05cb8,object identifier,Tekeningen,,,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_AnnotationsImmaterial,1,note.mpmalg,"<p>Koperplaat naar deze ontwerptekening: KP 61 D</p>
","<p>Koperplaat naar deze ontwerptekening: KP 61 D</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2a3db70b-05df-4898-a701-6609dc03d8ee"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d0bdb886-682f-4e8f-a724-b083d758536d"", ""inverseOntologyProperty"": """"}]"
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637,1752,No Copyright - Public Domain Mark 1.0,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Ontwerp voor de titelpagina van het eerste deel van Justus Lipsius, Opera omnia</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,"nr. 73a, p. 303-305",Nederlands,remarks,c:lvd:239025,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/000000010,referentienummer,False,,,,,,,,,,,,,,
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:26,brocade id,False,,,,,,,,,,,,,,
