ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,End Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:21,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,object identifier,Tekeningen,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_AnnotationsImmaterial,1,note.mpmalg,"<p>De tekening diende als het ontwerp voor de gravure van Hans Collaert die in Jan Moretus editie van het Missale Romanum van 1596 voor het eerst voorkwam</p>
","<p>De tekening diende als het ontwerp voor de gravure van Hans Collaert die in Jan Moretus editie van het Missale Romanum van 1596 voor het eerst voorkwam</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f1f8a516-4de4-457c-81e8-149aa986ebba"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1af30b42-c892-4e85-a9d4-cd86a258f895"", ""inverseOntologyProperty"": """"}]"
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,1695,No Copyright - Public Domain Mark 1.0,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,1580,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Melchisedech biedt Abraham brood en wijn aan</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,p. 266-268,Nederlands,remarks,c:lvd:3150577,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/000000007,referentienummer,False,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:21,brocade id,False,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:21/N,brocade url,False,,,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cd351e07-50be-5522-b7a2-e07a00587c9d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""16f95a02-39ea-42b9-8c7d-20716966a397"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abraham en Melchidesech,titles proper,Dutch (language),,,,,,,,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,e73_Titles,,,au::20701,,,,mpm,mpmtk,Iconografie,fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711,ar,,au::20701:1,au::20701g:1,,,,au_code,artists (visual artists),,"dlod={""suggest"":[""/agents/people/2215007"",""au::20701"",""au::20701:1"",""ark:/83110/x0/fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711"",""Maerten de Vos"",""ark:/83110/x0/38ec6de7-d131-5ba9-97f5-eb449bf2b6bc""],""name"":""Maerten de Vos"",""ark"":""ark:/83110/x0/38ec6de7-d131-5ba9-97f5-eb449bf2b6bc"",""uri"":""/agents/people/2215007"",""id"":""au::20701:1"",""resourceArk"":""ark:/83110/x0/fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/fa4e2a3e-55e0-5ab1-9d4f-1e4227ffe711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
