ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Document status,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Material,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:229190_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/697b55d0-9e26-5c73-8631-e80504626f4b,object identifier,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_AcquisitionNumbers,1,,,,186761/5-6,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_Acquisitions,1,tr:lh:7336,"dlod={""name"":""Archief van Michel Seuphor"",""ark"":""ark:/24970/x0/21221d3a-7001-51de-9f76-ec8d0dd744a4"",""uri"":""/repositories/11/accessions/784955"",""id"":""tr:lh:7336"",""date"":""2003-06-26"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/21221d3a-7001-51de-9f76-ec8d0dd744a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_Archives,1,,,,,,,,,,,isad:lh:82535,"dlod={""name"":""Galleria / Studio d'Arte Beniamino"",""ark"":""ark:/24970/x0/ca897d59-4745-5be1-b7a1-fb68b2cb287a"",""uri"":""/repositories/11/archival_objects/8831248"",""id"":""isad:lh:82535"",""nameWithContext"":[""Briefwisseling/Lettres"",""Reeks G"",""Briefwisseling met galeries""],""resourceName"":""Archief van Michel Seuphor"",""resourceArk"":""ark:/24970/x0/ae31e955-ddae-563a-bf03-21ce2aa191b8"",""resourceURI"":""/repositories/11/resources/404249"",""resourceID"":""isad:lh:3778"",""capacity"":""Galleria / Studio d'Arte Beniamino"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/ca897d59-4745-5be1-b7a1-fb68b2cb287a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_Items,1,,,,,,,,,,,,,,,lhbr,tr:lh:7336,tg:lhbr:229190_#1,186761/5-6,isad:lh:82535,S 59 / Archief Galeries,697b55d0-9e26-5c73-8631-e80504626f4b,,,,,,,,,,,,,,,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_Materials,1,,,,,,kenmerken.lhschrijfhs,pc,,,,,,,,,,,,,,,,,,,,,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypebr,brkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,letters (correspondence),,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_ProductStadiums,1,,,,,,kenmerken.lhtypebr,brkl,,,,,,,,,,,,,,,,,,,,,,drafts (documents),,,,,,,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_ProductionTechniques,1,,,,,,kenmerken.lhtypohs,hs,,,,,,,,,,,,,,,,,,,,,,,handwriting,,,,,,,,,,,,,,,,
697b55d0-9e26-5c73-8631-e80504626f4b,tg:lhbr:229190_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,permission required,,,,,,,,
