ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Document status,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Material,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:217120_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/d67ea57b-62db-5a3f-adf0-27c99c138fb4,object identifier,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_AcquisitionNumbers,1,,,,199571/1 a-b,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_Acquisitions,1,tr:lh:7668,"dlod={""name"":""Archief van Joris Diels"",""ark"":""ark:/24970/x0/ec375a7d-e205-5384-8c8f-0e2de8582e37"",""uri"":""/repositories/11/accessions/820479"",""id"":""tr:lh:7668"",""date"":""2003-03-05"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/ec375a7d-e205-5384-8c8f-0e2de8582e37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_Archives,1,,,,,,,,,,,isad:lh:78860,"dlod={""name"":""Brieven aan Gerard Walschap"",""ark"":""ark:/24970/x0/4bfb0fcd-8cfa-56c9-9203-d495a82f8e27"",""uri"":""/repositories/11/archival_objects/8438023"",""id"":""isad:lh:78860"",""nameWithContext"":[""Briefwisseling"",""Brieven van Joris Diels per correspondent""],""resourceName"":""Archief van Joris Diels en Ida Wasserman"",""resourceArk"":""ark:/24970/x0/8c6c694f-27e8-5d26-ba0a-b1c94ae96041"",""resourceURI"":""/repositories/11/resources/592676"",""resourceID"":""isad:lh:5539"",""capacity"":""Brieven aan Gerard Walschap"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/4bfb0fcd-8cfa-56c9-9203-d495a82f8e27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_DocumentStatus,1,,,,,,kenmerken.lhorighs,fc,,,,,,,photocopies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_Items,1,,,,,,,,,,,,,,,lhbr,tr:lh:7668,tg:lhbr:217120_#1,199571/1 a-b,isad:lh:78860,,d67ea57b-62db-5a3f-adf0-27c99c138fb4,D 4252 / 18,,,,,,,,,,,,,,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_Materials,1,,,,,,kenmerken.lhschrijfhs,in,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypebr,brbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,letters (correspondence),,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_ProductionTechniques,1,,,,,,kenmerken.lhtypohs,hs,,,,,,,,,,,,,,,,,,,,,,,handwriting,,,,,,,,,,,,,,,,
d67ea57b-62db-5a3f-adf0-27c99c138fb4,tg:lhbr:217120_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,permission required,,,,,,,,
