ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Document status,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Material,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:237474_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/d0dc1aaa-090a-52a8-adbf-56790ac7ac31,object identifier,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_AcquisitionNumbers,1,,,,202337/2,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_Acquisitions,1,tr:lh:7836,"dlod={""name"":""Archief van Paul van Ostaijen"",""ark"":""ark:/24970/x0/5234cff2-11fb-5458-a7b2-2555d1204beb"",""uri"":""/repositories/11/accessions/838455"",""id"":""tr:lh:7836"",""date"":""2004-08-16"",""granter"":""Monica de Smedt"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/5234cff2-11fb-5458-a7b2-2555d1204beb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_Archives,1,,,,,,,,,,,isad:lh:85159,"dlod={""name"":""Brieven van Peter Zingler"",""ark"":""ark:/24970/x0/7598ce8e-d7e6-5fed-a455-3147e61d70ea"",""uri"":""/repositories/11/archival_objects/9112016"",""id"":""isad:lh:85159"",""nameWithContext"":[""Briefwisseling"",""Brieven aan Paul van Ostaijen per correspondent""],""resourceName"":""Collectie van Paul van Ostaijen"",""resourceArk"":""ark:/24970/x0/f48ca847-0d34-5c2c-8644-a9141ca73c40"",""resourceURI"":""/repositories/11/resources/771687"",""resourceID"":""isad:lh:7212"",""capacity"":""Brieven van Peter Zingler"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/7598ce8e-d7e6-5fed-a455-3147e61d70ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_ExtraProductionTechniques,1,,,,,,kenmerken.lhtypohs,hsts,,,,,,,,,,,,,,,,,,,,,,,handwriting,,,,,,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_Items,1,,,,,,,,,,,,,,,lhbr,tr:lh:7836,tg:lhbr:237474_#1,202337/2,isad:lh:85159,O 3945 / B2,d0dc1aaa-090a-52a8-adbf-56790ac7ac31,,,,,,,,,,,,,,,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_Materials,1,,,,,,kenmerken.lhschrijfhs,in,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypebr,brbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,letters (correspondence),,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_ProductionTechniques,1,,,,,,kenmerken.lhtypohs,hsts,,,,,,,,,,,,,,,,,,,,,,,typewriting,,,,,,,,,,,,,,,,
d0dc1aaa-090a-52a8-adbf-56790ac7ac31,tg:lhbr:237474_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,permission required,,,,,,,,
