ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
060fb598-f865-592d-9c41-12499f172880,tg:mpmph:48,,,,AA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:48,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/060fb598-f865-592d-9c41-12499f172880,object identifier,Foto's,,,,
060fb598-f865-592d-9c41-12499f172880,,,,,e73_ChangeHistoryRelations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b6dea3e4-87d7-433f-a1db-481ccf7e4bae"", ""ontologyProperty"": """", ""resourceXresourceId"": ""25597340-2261-4198-baac-6c040aa47dce"", ""inverseOntologyProperty"": """"}]"
060fb598-f865-592d-9c41-12499f172880,tg:mpmph:48,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
060fb598-f865-592d-9c41-12499f172880,tg:mpmph:48,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,,0,id/date.exposure/so,,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
060fb598-f865-592d-9c41-12499f172880,tg:mpmph:48,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
060fb598-f865-592d-9c41-12499f172880,tg:mpmph:48,,,,e73_Descriptions,,,,,,,,,,,,id.desc,,,,,,,,,,,,,"<p>[Fournier MPM]</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
060fb598-f865-592d-9c41-12499f172880,,,,,e73_LegacyInformation,,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000037,referentienummer,False,,,,,,,,,,,,,,,
060fb598-f865-592d-9c41-12499f172880,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:48,brocade id,False,,,,,,,,,,,,,,,
060fb598-f865-592d-9c41-12499f172880,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:48/N,brocade url,False,,,,,,,,,,,,,,,
060fb598-f865-592d-9c41-12499f172880,tg:mpmph:48,,,,e73_MaterialRecords,,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b4d9ef64-04ff-53bd-b506-12ddcb55dcfa"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ee556725-c5d3-4fea-b947-7e2a39218b66"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
060fb598-f865-592d-9c41-12499f172880,tg:mpmph:48,mpm,mpmph,Foto,e73_Titles,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet"",""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""resourceArk"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
