ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,,,,AA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:15,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/b779d048-874d-5380-96a7-853bb262031e,object identifier,Foto's,,,,
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,,,,Places,,,,,,,,,,,1,id/place.place,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
b779d048-874d-5380-96a7-853bb262031e,,,,,e73_ChangeHistoryRelations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e919219d-6399-45b5-9b1f-7b63a839a486"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dd4b592a-e289-4e5a-abb3-d909dedd669a"", ""inverseOntologyProperty"": """"}]"
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,2054,In Copyright,
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,,0,id/date.exposure/so,,,,,,,,19390715,,,,,,,,,,,,,,,,,,,,,,,,,
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,1939-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,,,,e73_Descriptions,,,,,,,,,,,,id.desc,,,,,,,,,,,,,"<p>Opening van de tentoonstelling 'Max Rooses herdacht' in het Stedelijk Prentenkabinet. V.l.n.r.: Ary Delen, schepen Adolf Molter, schepen Jules Somers, een zekere meneer Rombaut en Frans Wittemans.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
b779d048-874d-5380-96a7-853bb262031e,,,,,e73_LegacyInformation,,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000007,referentienummer,False,,,,,,,,,,,,,,,
b779d048-874d-5380-96a7-853bb262031e,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:15,brocade id,False,,,,,,,,,,,,,,,
b779d048-874d-5380-96a7-853bb262031e,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:15/N,brocade url,False,,,,,,,,,,,,,,,
