ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,AA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:106,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,object identifier,Foto's,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,Places,,,,,,,,,,,1,id/place.place,[Amsterdam],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_ChangeHistoryRelations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""34297f67-9dca-415a-97d5-abde3d922a43"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1639e0f6-cf93-4f9a-a156-c7af42fcdd97"", ""inverseOntologyProperty"": """"}]"
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,,0,id/date.exposure/so,,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_Descriptions,,,,,,,,,,,,id.desc,,,,,,,,,,,,,"<p><em>Epreuves de plusieurs sortes de caractéres; romains, italiques, flamands, allemands, … qui se fondent chez la fréres Ploos van Amstel</em> = <em>Proef van Romeinsche, cursyfsche, Neder en Hoogduitsche, Hebreeuwsche, … letteren … welke gegooten worden by geb. Ploos van Amstel</em> (Gebroeders Ploos van Amstel, Amsterdam 1784)</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_LegacyInformation,,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000095,referentienummer,False,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:106,brocade id,False,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:106/N,brocade url,False,,,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,,,,e73_MaterialRecords,,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c88b47ee-c697-5a61-8537-0afdddf11c67"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fbfcc80c-9fc8-4910-a3b9-2a3bde4f075c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,mpm,mpmph,Foto,e73_Titles,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet"",""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""resourceArk"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
