ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,tg:mpmph:60,,,,AA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:60,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/8aead454-2ce8-5c0b-87eb-221f9edfd0e7,object identifier,Foto's,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,,,,,e73_ChangeHistoryRelations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ee707237-a49b-496a-bbea-bc7449a3987c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e999e611-57b6-43a2-9553-3c5483230a88"", ""inverseOntologyProperty"": """"}]"
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,tg:mpmph:60,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,tg:mpmph:60,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,,0,id/date.exposure/so,,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,tg:mpmph:60,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,tg:mpmph:60,,,,e73_Descriptions,,,,,,,,,,,,id.desc,,,,,,,,,,,,,"<p>Vijftien microfilms met epigrafische vormgeving en inscripties uit Romeinse tijd</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,,,,,e73_LegacyInformation,,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000049,referentienummer,False,,,,,,,,,,,,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:60,brocade id,False,,,,,,,,,,,,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:60/N,brocade url,False,,,,,,,,,,,,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,tg:mpmph:60,,,,e73_MaterialRecords,,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b09dc0df-97a1-58d6-859c-46d173698b9e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e76defb-0cbc-4d17-8e7e-06d6b1b53c51"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
8aead454-2ce8-5c0b-87eb-221f9edfd0e7,tg:mpmph:60,mpm,mpmph,Foto,e73_Titles,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet"",""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""resourceArk"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
