ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,,,,AA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:65,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/c6ce51c0-0db0-5a1f-9fb7-361349dd4840,object identifier,Foto's,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,,,,Places,,,,,,,,,,,1,id/place.place,[Antwerpen],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,,,,,e73_ChangeHistoryRelations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5ff390ce-7643-4442-b978-3c9a95c7cbc8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""afe4f4d5-31d0-4283-9ccc-e377eb710d20"", ""inverseOntologyProperty"": """"}]"
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,,0,id/date.exposure/so,,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,,,,e73_Descriptions,,,,,,,,,,,,id.desc,,,,,,,,,,,,,"<p>Drie letterproeven samen onder de naam Wolsschaten:</p>
<ol>
<li><em>Incipit: Solon een Heydens Philosooph …</em> (Melchior van Wolsschaten, Antwerpen 17e eeuw)</li>
<li><em>Incipit: erat in Lovaniensi colegio …</em> (Melchior van Wolsschaten, Antwerpen 17e eeuw)</li>
<li><em>Proef van letteren, die te bekomen zyn by Balthasar van Wolsschaten woonende inde korte minder-broeders straet, in het Heydelberghs wyn-vat t'Antwerpen</em> (Balthasar van Wolsschaten, Antwerpen, na 1725)</li>
</ol>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,,,,,e73_LegacyInformation,,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000054,referentienummer,False,,,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:65,brocade id,False,,,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,,,,,e73_LegacyInformation,,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:65/N,brocade url,False,,,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,,,,e73_MaterialRecords,,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2c9fb700-6b31-54c6-a149-fb65a510cc6f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cbc98775-9a6a-4da2-94ea-3c19014cfaa9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
c6ce51c0-0db0-5a1f-9fb7-361349dd4840,tg:mpmph:65,mpm,mpmph,Foto,e73_Titles,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet"",""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/22bf5763-1bac-557b-a0b8-16ae53d560fa"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""resourceArk"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
